gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PLIN2,1572.881672,-0.284925203,0.206659802,-1.378716133,0.167982293,0.260378602
IFNA5,4.256232167,1.989390136,0.569656537,3.492262451,0.000478947,0.001513906
HAUS6,1729.09589,0.229028024,0.112484695,2.036081652,0.041742157,0.08109815
CDKN2B,48.67708955,-0.726445271,0.681185744,-1.066442269,0.286223762,0.398114869
IFNA16,533.6108635,0.372419559,0.202270991,1.841191152,0.065593552,0.118992919
CDKN2A,28.44752657,0.263376564,0.349904456,0.752709947,0.451624232,0.567412323
C9orf72,1558.522057,0.234318526,0.176703043,1.326058235,0.184820409,0.281042475
IFNK,2743.158552,1.838299768,0.223324085,8.231533845,1.85E-16,3.40E-15
ZCCHC7,9.992550051,3.211201784,0.799113986,4.018452737,5.86E-05,0.000224262
FBXO10,223.5531876,3.24065861,0.194199724,16.68724619,1.62E-62,2.97E-60
SIGMAR1,691.1898747,1.793676626,0.334533451,5.361725773,8.24E-08,5.27E-07
CBWD5,3363.099363,0.570333541,0.128236059,4.44752862,8.69E-06,3.90E-05
CEP78,938.5563122,-0.853446116,0.202637135,-4.211696531,2.53E-05,0.000104375
NTRK2,1983.79038,0.278170761,0.099622773,2.792240693,0.00523444,0.013038312
IDNK,400.2031843,-0.728039654,0.175021999,-4.159703679,3.19E-05,0.000128372
SHC3,444.2712381,0.369373811,0.103891552,3.555378688,0.000377435,0.001217378
AUH,1663.861996,-0.343594269,0.147579097,-2.328204177,0.019901265,0.042619706
MFSD14B,1020.972333,0.701076863,0.301057485,2.328714276,0.019874207,0.042567901
AOPEP,65.36899529,-2.819325639,0.391720978,-7.197280206,6.14E-13,8.06E-12
PLPPR1,2.359310325,0.558266866,0.659751124,0.846177969,0.39745347,0.514259247
OR13C4,1246.785,-0.241986754,0.094073222,-2.572323424,0.010101847,0.023324774
ZNF462,482.4528651,-1.146950895,0.169680326,-6.759480743,1.38E-11,1.55E-10
INIP,334.7200492,0.049589274,0.104015027,0.476751053,0.633539404,0.729591101
UGCG,2735.710606,-0.364182239,0.070645784,-5.155045649,2.54E-07,1.49E-06
ACTL7B,852.9787198,1.389645651,0.187376793,7.41631676,1.20E-13,1.70E-12
SNX30,1.524782667,-0.3123588,0.80954391,-0.385845407,0.699611164,0.78414107
STOM,224.7788605,7.417186741,0.426319964,17.39816891,8.52E-68,1.85E-65
NR6A1,668.4492069,7.127977004,0.549942124,12.96132211,2.03E-38,1.51E-36
CRB2,2.22661089,2.662819663,0.84457909,3.152836358,0.001616924,0.004532988
OR5C1,366.5949519,-1.633459213,0.199407366,-8.19156907,2.58E-16,4.68E-15
ALAD,1739.568557,0.632271326,0.151278762,4.17951149,2.92E-05,0.000118665
ASTN2,573.6380322,-0.079418845,0.211074364,-0.376260022,0.706723597,0.78979296
WDR31,716.8052049,-1.251766475,0.204241312,-6.128860325,8.85E-10,7.65E-09
POLE3,2959.173267,-2.156424704,0.34602959,-6.231908378,4.61E-10,4.17E-09
SURF4,1410.535954,-0.431525848,0.141610394,-3.047275234,0.002309262,0.006255327
GBGT1,2959.644384,-0.568617158,0.07977363,-7.12788371,1.02E-12,1.31E-11
SURF1,559.2568511,-0.547226377,0.111072932,-4.926730295,8.36E-07,4.49E-06
SURF2,48.72663948,-2.740620017,0.488315397,-5.612397303,2.00E-08,1.40E-07
SURF6,172.3255945,0.660317953,0.189244091,3.489239478,0.000484397,0.001529872
MED22,467.8191881,1.891553157,0.257590226,7.343264473,2.08E-13,2.88E-12
GTF3C5,1976.678292,0.234061821,0.150340485,1.556878184,0.11949941,0.196321503
ASB6,678.7345824,0.293449019,0.097972934,2.995204975,0.002742605,0.00731198
PTGES2,863.8990569,-0.073766131,0.116492511,-0.633226373,0.526585826,0.63667915
NTMT1,2571.982135,0.280312436,0.09602856,2.919052794,0.003510968,0.009125697
CIZ1,3002.713878,0.208859595,0.128529366,1.624995133,0.104163596,0.175317372
SLC25A25,941.6927066,0.799662945,0.17324566,4.615774774,3.92E-06,1.87E-05
SH3GLB2,791.105181,-0.794235921,0.183299751,-4.332989624,1.47E-05,6.31E-05
MIGA2,1099.959661,0.62872059,0.205094436,3.065517542,0.002172936,0.005922464
PTGES,2.250003458,0.525956398,0.656651631,0.800967168,0.423150653,0.540302687
LCN2,48.39718486,1.979659998,0.333905904,5.928796033,3.05E-09,2.44E-08
LRSAM1,1350.419954,0.567168899,0.199506391,2.842860807,0.004471059,0.011312988
GPR107,128.4091948,-1.039102697,0.22429962,-4.632654727,3.61E-06,1.74E-05
PAXX,52.11327804,2.276024674,0.603471983,3.771549865,0.000162237,0.00056542
IDI2,1.327287891,-1.223008625,1.159652837,-1.05463341,0.291593018,0.404098121
INPP5E,7.274517182,-1.025779386,0.478267798,-2.144780372,0.031970411,0.064478261
SEC16A,169.189324,-4.563454627,1.249139479,-3.65327868,0.000258913,0.000864351
DPH7,130.6700015,4.96462066,0.302582004,16.40752126,1.69E-60,2.86E-58
NOTCH1,2.452362757,3.145579911,1.086712572,2.894583161,0.003796623,0.009804022
CACNA1B,176.3526513,-1.669781153,0.364979854,-4.574995397,4.76E-06,2.24E-05
NACC2,0.862639437,-1.616720796,1.269763417,-1.273245689,0.202930872,0.302757135
PROSER2,427.0644932,-0.205170473,0.161512292,-1.270308719,0.203974684,0.304078086
USP6NL,435.0273281,0.382605806,0.170373939,2.245682696,0.024724339,0.051583099
COMMD3,117.6888804,-0.185019487,0.165822969,-1.115765134,0.264522682,0.374520971
PDSS1,327.7983322,-0.248299486,0.254290291,-0.976441078,0.328845933,0.444001488
FAM171A1,733.5374151,-0.345519888,0.217943703,-1.585363025,0.112883877,0.187435361
MINDY3,5125.501094,1.105222552,0.201969624,5.47222166,4.44E-08,2.96E-07
SLC39A12,2749.897112,-0.485558485,0.199555519,-2.433199976,0.014966033,0.033075424
TMEM236,42.79565721,5.546499345,0.548670062,10.1089885,5.04E-24,1.56E-22
RSU1,0.675616866,1.864759389,1.563127957,1.192966565,0.232882468,0.338717511
ST8SIA6,3.863292852,4.294038015,0.988828472,4.342550943,1.41E-05,6.06E-05
PARD3,1587.185802,0.786870626,0.189378233,4.155021482,3.25E-05,0.000130755
ANKRD30A,926.8948564,-0.721909389,0.149371088,-4.832992769,1.34E-06,6.98E-06
ZEB1,1165.434555,-0.608356676,0.161563241,-3.765439916,0.000166256,0.000577854
FAM13C,990.9326926,0.315021819,0.178028622,1.769500963,0.07681031,0.136211087
NRBF2,450.3017049,0.201166406,0.259439404,0.775388792,0.438109956,0.55473836
A1CF,1295.456008,-0.289162569,0.176605409,-1.637336991,0.101560076,0.17165569
LRIT1,125.142014,0.750759891,0.272188997,2.758230127,0.005811527,0.014311278
RGR,2.699936685,4.314225993,0.997017563,4.327131388,1.51E-05,6.47E-05
POLR3A,1502.187088,-0.474682817,0.149154151,-3.182498197,0.001460104,0.00412997
HERC4,117.5921904,4.610374424,0.330587642,13.94599749,3.33E-44,3.18E-42
LRMDA,10.40307741,-1.105552377,0.484383045,-2.282392807,0.02246616,0.047375673
CAMK2G,808.340168,-0.420399946,0.152814132,-2.751054107,0.005940383,0.014591158
ADIRF,3.212336572,1.727952501,0.703503896,2.456208856,0.014041153,0.031255026
GLUD1,1.517959038,2.065513667,0.969146667,2.131270465,0.033066867,0.066326241
ANKRD1,1170.901036,0.101700565,0.269316182,0.377625154,0.705709075,0.789098738
RPP30,228.4975316,-0.238897909,0.107274648,-2.22697454,0.025948975,0.053721036
FRA10AC1,495.8724997,0.336720761,0.164081151,2.052159918,0.040154123,0.078400313
ADD3,284.6975719,-0.769428238,0.165232039,-4.656652804,3.21E-06,1.56E-05
HABP2,540.0994906,0.618905826,0.197047443,3.140897529,0.00168431,0.004703745
VAX1,82.57685452,7.062350359,0.614852515,11.48625107,1.55E-30,7.32E-29
DNAJB12,232.6055288,8.250204353,0.541423485,15.23798762,1.98E-52,2.51E-50
EIF4EBP2,1.521003605,1.247312404,1.074573077,1.160751586,0.245742937,0.353670844
NPFFR1,2960.592099,-0.554251727,0.143916203,-3.851211441,0.000117535,0.000420978
PLEKHS1,7797.649946,-0.218597216,0.25588461,-0.854280433,0.392949626,0.509808862
TCF7L2,303.4311268,6.85959558,0.669746608,10.24207588,1.28E-24,4.12E-23
MKI67,3649.082121,0.71141022,0.180991041,3.930637765,8.47E-05,0.000312831
CYP17A1,4140.119839,1.540734855,0.172979527,8.907035891,5.24E-19,1.17E-17
INA,2.436944553,-1.849429323,0.993187067,-1.862115793,0.06258677,0.114551309
FUOM,5.218067366,-0.348239404,0.60250523,-0.577985695,0.563273777,0.66964917
MTG1,0.692352275,2.176181611,1.865466014,1.166561918,0.24338733,0.350957295
NKX6-2,4522.782321,-1.524212185,0.206131785,-7.394357876,1.42E-13,2.00E-12
GSTO1,1.715685287,2.536974576,0.9691451,2.61774483,0.008851297,0.020737072
TAF5,1212.869063,3.052129626,0.219314834,13.91665837,5.02E-44,4.78E-42
PPRC1,893.683598,0.133305215,0.155992643,0.854560911,0.392794275,0.509678594
ITPRIP,286.956818,-0.438299283,0.21810274,-2.009600078,0.044473533,0.085480026
CNNM2,7.618213536,-1.36621695,0.901692845,-1.515168894,0.129729638,0.210401587
PDCD11,3391.914703,-0.356801701,0.216309261,-1.649498033,0.099045646,0.168018728
RGS10,1.616006348,0.632029931,0.886886086,0.712639358,0.47606895,0.590041829
BTBD10,4104.482264,0.646437744,0.17177056,3.763379141,0.000167633,0.000582262
ADM,1029.635097,1.561303857,0.386963975,4.034752483,5.47E-05,0.000210388
GAS2,1287.868651,0.179010712,0.090380496,1.980634314,0.047632298,0.090740085
SLC5A12,1479.754358,-1.141971822,0.207555691,-5.502001977,3.76E-08,2.53E-07
LRRC4C,554.9076775,0.532278296,0.232982337,2.284629394,0.022334568,0.047131463
IMMP1L,91.11114495,2.546751046,0.446051223,5.709548401,1.13E-08,8.30E-08
SAA4,626.4019007,0.249419048,0.111584238,2.2352534,0.025400718,0.052801584
PGAP2,2.899401101,-0.438508932,0.559637873,-0.783558357,0.433299299,0.550020564
SCGB1A1,526.2103456,0.48290876,0.240358173,2.009121447,0.044524256,0.085571397
ZNF214,0.476996993,0.730043157,1.228657846,0.59417938,0.552392143,0.659835828
ZNF215,1.013703652,-1.604275178,1.044182855,-1.536392951,0.124442034,0.203149996
APIP,771.1152015,-0.267934201,0.157453596,-1.701670889,0.088817081,0.153520328
PAMR1,882.9455415,-1.274875147,0.240127192,-5.309166093,1.10E-07,6.88E-07
DGKZ,131.2645121,-3.195504276,0.356207253,-8.970912992,2.94E-19,6.70E-18
EIF3M,14092.28369,-1.178557389,0.182065387,-6.47326442,9.59E-11,9.59E-10
TNKS1BP1,935.7510272,-1.136248643,0.235979007,-4.815041208,1.47E-06,7.60E-06
GLYAT,1367.694273,-1.105783253,0.221167918,-4.999745273,5.74E-07,3.17E-06
SERPING1,706.7092383,0.242008495,0.25444672,0.951116583,0.341545198,0.457219708
SSRP1,7.582816045,1.069314297,0.427948063,2.498701105,0.012464939,0.028086089
SLC43A1,42.50267306,-4.763020895,0.435110771,-10.94668579,6.89E-28,2.68E-26
PTPRJ,816.5783625,2.392298741,0.180215243,13.27467478,3.25E-40,2.57E-38
C11orf49,1319.711516,0.794813391,0.210213464,3.780982312,0.000156211,0.000546331
ARFGAP2,8325.795723,1.013728982,0.126013015,8.044637144,8.65E-16,1.50E-14
CELF1,69.32819451,-0.524659242,0.384436068,-1.364750309,0.172331542,0.265918572
CCDC81,5897.146562,0.102407791,0.188590407,0.543016967,0.587118121,0.690301106
SESN3,457.3324766,0.572757423,0.18860998,3.036729138,0.002391603,0.006461438
ENDOD1,508.1928213,0.359561557,0.163109072,2.204424027,0.027494537,0.056489924
CCDC82,58.16864531,3.277576265,0.660619613,4.961366873,7.00E-07,3.81E-06
KLHL35,62.2331633,1.116461364,0.228410972,4.887949786,1.02E-06,5.39E-06
TENM4,507.9641206,-0.44614199,0.111783219,-3.991135639,6.58E-05,0.000248897
SERPINH1,125.0016112,4.665050504,0.420805378,11.08600494,1.47E-28,5.96E-27
CAPN5,598.7402309,0.105984026,0.140015766,0.756943512,0.449083706,0.565251066
INTS4,590.1069325,-1.992170281,0.424284135,-4.695368311,2.66E-06,1.31E-05
PAK1,648.8710467,0.780891451,0.28685433,2.722257844,0.006483753,0.0157445
RPS3,668.4438899,-1.090395764,0.252773743,-4.31372242,1.61E-05,6.84E-05
TTC12,0.545694629,-1.774389505,1.371416497,-1.293837072,0.195721704,0.294338281
NCAM1,240.3699941,-0.577217256,0.248839568,-2.319636144,0.020360569,0.043436527
DRD2,362.8107113,0.457088414,0.148401238,3.080084918,0.002069416,0.005668715
C11orf52,168.2461077,0.364143543,0.183015881,1.989682757,0.046625893,0.089041786
HTR3B,575.7371787,0.073576654,0.169092815,0.435125847,0.663471083,0.755065719
NPAT,397.1556943,-0.509115374,0.204826235,-2.485596505,0.012933451,0.029027357
AASDHPPT,430.210006,-0.455320946,0.168644105,-2.699892443,0.00693619,0.016726773
GLB1L2,1604.566788,-2.359551919,0.355466149,-6.637908917,3.18E-11,3.38E-10
SLX4IP,0.464517504,-0.490180163,1.255843808,-0.390319369,0.696300402,0.781767088
LAMTOR1,59.05411353,-0.936131057,0.355886071,-2.630423425,0.008527858,0.020083924
P4HA3,3734.309192,0.951333058,0.196569731,4.839672177,1.30E-06,6.77E-06
GRIK4,4.84546044,-0.889597685,0.731164066,-1.216686824,0.223723394,0.327934029
ST14,3219.469444,0.407467648,0.09992787,4.077617673,4.55E-05,0.000177494
HYOU1,2.489135552,0.390908557,0.998033188,0.391678916,0.69529547,0.781095664
GGTLC1,17.35056663,0.41389559,0.380982392,1.08639034,0.277306333,0.388607728
ADAM33,429.4287923,3.342924541,0.353835372,9.447683309,3.46E-21,8.98E-20
SLC22A8,2247.269961,-0.857299885,0.218169427,-3.929514312,8.51E-05,0.00031421
KAT14,10927.51782,0.382269779,0.121640074,3.142630262,0.001674372,0.004678909
TKFC,4.335901079,2.793360867,0.841620144,3.319028053,0.000903314,0.002684765
MTA2,1.167597128,3.129637539,0.992052224,3.154710472,0.001606575,0.004507264
TMEM138,3.674799806,3.776426802,0.869397768,4.343727281,1.40E-05,6.03E-05
EML3,4093.600759,0.360625235,0.240378845,1.50023699,0.133553025,0.215510027
ZP1,1141.306922,-0.79042983,0.175731176,-4.497948793,6.86E-06,3.14E-05
OOSP2,856.2902224,-1.359916588,0.256023022,-5.311696491,1.09E-07,6.79E-07
MS4A3,85.36295443,6.66431502,0.57310527,11.62843087,2.95E-31,1.47E-29
PLCH2,247.9230128,-1.192845976,0.184592108,-6.462063772,1.03E-10,1.03E-09
CPSF7,6.503601262,-3.177928009,0.668863251,-4.751237275,2.02E-06,1.02E-05
MS4A2,1381.681843,0.330543157,0.224454052,1.472653999,0.140844356,0.22542143
B3GAT3,31.55884093,2.738119226,0.66532334,4.115471474,3.86E-05,0.000152838
EI24,1814.354105,0.552963615,0.098230224,5.629261453,1.81E-08,1.28E-07
CCDC15,7.754389563,1.155857601,0.389610839,2.966697757,0.003010167,0.007959779
STT3A-AS1,797.0484025,0.25684534,0.180398011,1.42377035,0.154512961,0.242999843
KIRREL3,124.5749342,-0.357523061,0.160466133,-2.228028143,0.025878638,0.053600195
SCN2B,1408.223863,-0.086699028,0.156694903,-0.553298327,0.580059146,0.684336867
TAGLN,506.0545857,-0.45874673,0.163001298,-2.814374711,0.004887222,0.012254079
JPH2,1765.493756,-2.714943974,0.548470254,-4.950029566,7.42E-07,4.02E-06
DUSP15,38.37032462,-4.114719477,0.925512891,-4.445880242,8.75E-06,3.93E-05
COMMD7,4930.147827,0.174140297,0.196906623,0.884380092,0.376491066,0.493071195
C20orf144,395.318902,-0.293482217,0.179348526,-1.636379304,0.101760228,0.17196154
KIAA1755,1538.960781,1.424130724,0.23882513,5.963068979,2.48E-09,2.00E-08
SPATA25,2.291219227,-2.142486929,0.783567453,-2.734272488,0.006251828,0.015261298
OCSTAMP,1342.446671,7.745306741,0.61947664,12.50298435,7.19E-36,4.61E-34
DSN1,1416.294829,0.556372419,0.144795503,3.842470284,0.000121802,0.000434934
SOGA1,2.538379949,-1.209785386,1.115251894,-1.084764252,0.278026082,0.38935242
CNBD2,305.6494025,-0.188932183,0.158243863,-1.193930559,0.232505132,0.338278541
CDH22,2.707409725,0.253129726,0.690734369,0.366464646,0.714018389,0.795577353
LSM14B,574.8550746,0.212134108,0.157611219,1.345932791,0.178324193,0.273391279
YTHDF1,1400.312853,0.094758197,0.189176912,0.50089726,0.616443431,0.714813377
CABLES2,1142.709101,-0.361973524,0.265128629,-1.36527513,0.172166593,0.265725075
LTO1,3255.09197,9.42234476,0.593021647,15.88870289,7.59E-57,1.15E-54
GPHA2,236.5650384,8.410865944,0.60116117,13.99103329,1.77E-44,1.70E-42
TRPT1,2.522400998,1.084744515,0.68695809,1.579054866,0.114323473,0.189486185
NUDT22,3.607227016,3.357233971,0.848872307,3.954934028,7.66E-05,0.000285467
FERMT3,1307.473764,1.255075873,0.153184626,8.193223492,2.54E-16,4.62E-15
MRPL49,928.1439513,-0.046467045,0.102175762,-0.454775618,0.649270673,0.743185112
CDC42EP2,3.171387615,-1.764934252,0.788498266,-2.238348934,0.025198309,0.052425437
FAU,1102.41671,0.191772385,0.129716711,1.478393832,0.139302395,0.223352579
TM7SF2,434.9756779,-3.028157783,0.59226101,-5.112877144,3.17E-07,1.83E-06
VPS51,1063.045824,0.211012269,0.208922276,1.010003687,0.312493524,0.42640015
TBX6,1537.363482,-0.282490289,0.126456282,-2.23389684,0.025489862,0.052960089
PPP4C,1471.81767,1.364244895,0.289561811,4.711411676,2.46E-06,1.22E-05
ALDOA,3.123337304,-2.862665173,0.756512105,-3.784030888,0.000154309,0.000540171
TLCD3B,28.42846838,2.366590477,0.395665045,5.981297829,2.21E-09,1.80E-08
DOC2A,860.1767798,0.487569919,0.097639601,4.993567283,5.93E-07,3.27E-06
HIRIP3,0.919212297,3.213739583,1.442402534,2.228046269,0.02587743,0.053600195
TAOK2,0.774332816,-1.188491528,1.168969237,-1.016700432,0.30929596,0.422938973
TMEM219,210.711104,6.960537382,0.556002149,12.51890375,5.88E-36,3.78E-34
HMGA2,886.6053465,0.634278213,0.20540228,3.087980394,0.002015218,0.005532995
MMP3,2607.311785,-0.259451749,0.134791173,-1.924842286,0.054249092,0.101399893
CNKSR2,7178.612797,0.098537921,0.100461996,0.980847727,0.326667838,0.441659782
CNTN5,924.7940221,0.817181831,0.121391852,6.731768355,1.68E-11,1.85E-10
KLRF1,149.7397409,3.946688451,0.44078982,8.953674227,3.44E-19,7.78E-18
CLEC1A,746.0522701,-0.474333482,0.227874498,-2.081555792,0.037383063,0.073734491
MKX,3588.937013,-0.411212147,0.149997683,-2.741456655,0.006116743,0.01496689
MPP7,19.86157616,3.94758758,0.592108236,6.667003324,2.61E-11,2.82E-10
ITGB1,1085.482241,5.848863299,0.509430554,11.48117883,1.64E-30,7.73E-29
FXYD4,3408.510751,0.345918532,0.125337425,2.759898194,0.005781938,0.014243633
TRIM48,12943.39231,-0.12271482,0.139374255,-0.88046978,0.378604869,0.494971165
OR8K1,4498.046039,0.485092154,0.211700762,2.291404853,0.021940009,0.046404518
OR5M9,4353.571884,-0.602735597,0.206780128,-2.914862285,0.003558455,0.00923868
PCDH15,689.7542585,3.180688824,0.276625864,11.49816137,1.35E-30,6.39E-29
PPIAP26,1381.830559,-0.176874945,0.123505633,-1.43212047,0.152109347,0.240062638
CWC15,39.95968738,2.559412871,0.49783038,5.141134354,2.73E-07,1.59E-06
FCGR1A,12.88735599,1.164828003,0.592052002,1.967442049,0.049132271,0.093168264
ARID5B,105.2723091,5.597328826,0.530777817,10.54552139,5.33E-26,1.85E-24
KLHL1,2045.027434,0.836378348,0.226288157,3.696076547,0.000218957,0.000742118
CDH8,2.089183553,1.77468204,1.082906197,1.638814188,0.101251963,0.171258757
DCUN1D2,2.778549038,-1.743419789,0.869982566,-2.003970951,0.045073172,0.08649646
TMCO3,4.520975947,2.505333815,0.753515638,3.32485975,0.00088463,0.002633605
TMEM218,7.394362131,4.496047369,0.788674056,5.700767429,1.19E-08,8.72E-08
TIRAP,0.784863461,3.109584399,1.872627572,1.660546093,0.096804643,0.164881504
LATS2,2882.233214,0.566038778,0.306416055,1.847288249,0.064705375,0.117691523
SAP18,3493.614209,0.595075954,0.291067233,2.044462196,0.040907908,0.079721474
ADGRL3,1672.821408,-0.445978566,0.14785074,-3.016410784,0.002557865,0.006866453
FAM124A,212.7600192,-0.628449213,0.21458293,-2.92870086,0.003403818,0.008875821
HNMT,2825.879167,0.299351632,0.159515832,1.876626463,0.060569308,0.11143654
LYPD1,119.8992729,3.131623142,0.378881623,8.26543952,1.39E-16,2.60E-15
LYPD6B,1654.542915,0.642817994,0.247078131,2.601679031,0.009276863,0.021622413
PDCD4,627.5227715,0.156386465,0.179169899,0.87283894,0.382750872,0.499371149
ADRA2A,0.73928851,0.763599982,1.076159958,0.709559928,0.477977077,0.591670012
GPM6A,556.4172228,-0.900692837,0.204570519,-4.40284769,1.07E-05,4.72E-05
WDR17,7.878785958,-0.993734598,0.467366466,-2.126242833,0.033483045,0.067050921
VEGFC,235.8098659,-1.406224267,0.200097201,-7.027705844,2.10E-12,2.58E-11
CCDC102B,1933.328241,-0.621556824,0.1345193,-4.620577295,3.83E-06,1.83E-05
CD226,281.086517,-0.186474095,0.147784889,-1.261794056,0.207022901,0.307870813
CNDP1,2591.45462,-0.060091177,0.131342528,-0.457515002,0.647300922,0.741435725
DLG2,63.46070723,-1.989247644,0.385564737,-5.159309064,2.48E-07,1.46E-06
CCDC83,743.5684865,-0.553774926,0.241153057,-2.29636287,0.021655142,0.045892303
RGS18,704.2354435,-0.369889536,0.117845492,-3.138766964,0.001696603,0.004734141
PRSS23,52.91645338,-1.869308453,0.28044509,-6.665506087,2.64E-11,2.85E-10
MTMR12,0.664906654,0.621516771,1.101909758,0.564036,0.572729633,0.678036312
PPP1R1C,8.860103564,-0.412715043,0.396316446,-1.041377532,0.297700366,0.410234829
C11orf53,592.1620473,0.191900258,0.259708832,0.738905398,0.459964445,0.575335559
CCT5,894.6304846,-0.098112102,0.139454009,-0.703544505,0.481716481,0.595065443
ATPSCKMT,1309.468031,-1.711680217,0.230360017,-7.430457066,1.08E-13,1.54E-12
DOCK1,3911.257164,0.785408029,0.099740082,7.874547639,3.42E-15,5.66E-14
DIXDC1,3.413023484,0.531075504,0.73318392,0.72434145,0.468856135,0.583572586
DLAT,70.81916709,1.106627845,0.276821294,3.997625432,6.40E-05,0.000242882
NKAPD1,315.0175679,2.314528592,0.367186119,6.303420731,2.91E-10,2.70E-09
TIMM8B,3746.253298,-0.274444067,0.17164119,-1.598940597,0.109833802,0.183219963
TEX12,1.779092526,-1.563014634,0.918912943,-1.700938752,0.088954489,0.153733951
PTS,832.3065941,-0.836164992,0.314735748,-2.656720744,0.007890477,0.018723946
PIP4K2A,14285.65338,-0.745919996,0.20912806,-3.566809714,0.000361354,0.00117113
C2orf50,283.0184265,-0.194719277,0.347508392,-0.560329711,0.575254565,0.68028124
FREM2,2667.777425,1.152076155,0.310477425,3.710659975,0.00020672,0.000704819
FOXO1,1245.738038,0.200416247,0.139397001,1.437737156,0.150508646,0.237969604
CRIM1,134.6797782,0.228536167,0.155145977,1.473039593,0.14074036,0.225295237
SEC24D,417.2625628,2.34449843,0.248454105,9.436344119,3.86E-21,9.97E-20
ABCB9,2.475426219,-1.839751559,0.796769986,-2.309012124,0.020942908,0.044533923
RILPL2,5107.202136,2.078280378,0.173414384,11.98447518,4.29E-33,2.36E-31
DHX37,2147.036767,0.445569157,0.21130231,2.10868096,0.034972129,0.069638486
UBC,1705.692087,0.482898483,0.363893717,1.327031661,0.18449821,0.280659846
TKTL2,4.221859997,0.892319577,0.552368093,1.615443738,0.106214635,0.1780891
PRSS53,625.2005001,0.674881975,0.190875875,3.53571123,0.000406679,0.001305278
SLC7A11,168.0154209,0.403943799,0.16701962,2.418541,0.015582889,0.03430329
NOCT,1628.10603,-0.63215257,0.12792594,-4.941551119,7.75E-07,4.19E-06
ENKUR,257.980206,7.021742991,0.393982605,17.82246959,4.73E-71,1.15E-68
GPR158,614.0632954,1.090012722,0.169365198,6.435871905,1.23E-10,1.21E-09
LYZL2,2.328578915,-2.460857524,1.02780829,-2.394276781,0.016653177,0.036376288
CACNA2D4,102.1649681,-2.873098428,0.650232452,-4.418571267,9.94E-06,4.41E-05
DCP1B,2712.799819,0.785935756,0.166085366,4.732119228,2.22E-06,1.11E-05
CACNA1C-IT2,603.7060429,-2.493381381,0.815213131,-3.058563811,0.002224007,0.006044495
KCNA6,2054.638586,-0.354639952,0.13989781,-2.534992874,0.011244961,0.025649049
NGLY1,1.087747957,0.689235143,1.246066914,0.553128516,0.580175411,0.684443986
OXSM,10.7263961,-0.230443531,0.408270593,-0.564438231,0.572455927,0.677806784
UEVLD,759.7786486,-1.916509716,0.307376457,-6.235056952,4.52E-10,4.08E-09
TMEM86A,311.8498649,-1.844475072,0.380439788,-4.848270692,1.25E-06,6.50E-06
NOPCHAP1,493.508811,0.808607601,0.244830028,3.302730502,0.000957484,0.002827007
TMEM263,1556.19581,-0.342089625,0.135123743,-2.531676645,0.011351862,0.025864345
BTBD11,5.406224005,2.001457367,0.530046124,3.776006043,0.000159363,0.000556415
UBE3B,456.6495017,-0.423889053,0.264202818,-1.604407768,0.1086242,0.181427393
IPMK,149.4278313,10.63747935,0.871327511,12.20835934,2.80E-34,1.66E-32
RAD9B,5.414247556,-1.352341821,0.492212873,-2.747473493,0.006005636,0.014729896
PLBD2,108.4477986,-0.935315397,0.340103337,-2.750091795,0.005957857,0.01462873
DLG5,801.874242,0.168969494,0.169156545,0.99889421,0.317845941,0.432037779
MAT1A,129.6585159,7.049324734,0.510988304,13.7954718,2.71E-43,2.48E-41
SLC2A13,199.8864001,2.485735377,0.231458732,10.73943227,6.65E-27,2.42E-25
GXYLT1,829.7287358,0.638918822,0.172767503,3.698142373,0.000217183,0.00073657
TWF1,2154.992394,2.372764162,0.289298351,8.20178946,2.37E-16,4.31E-15
EIF4E,326.3081627,0.115540767,0.161259487,0.716489735,0.473689004,0.588095643
TEX30,1097.480283,1.038033381,0.161468163,6.428718582,1.29E-10,1.26E-09
CSNK1G3,184.5856106,-0.169069251,0.26202628,-0.645237764,0.518773117,0.629462262
SRFBP1,162.0752137,-3.968979721,0.679432998,-5.841605767,5.17E-09,3.99E-08
NPAS3,1.310932079,1.82299098,0.986157741,1.848579496,0.064518556,0.117451749
LOC101927178,2.036290854,2.414940646,1.08733971,2.220962432,0.026353506,0.054428537
MIPOL1,980.9793762,1.932055526,0.158932251,12.15647245,5.30E-34,3.05E-32
EXT2,1473.805647,0.689857108,0.160590658,4.295748695,1.74E-05,7.37E-05
ALLC,2020.184355,2.113693044,0.187629235,11.26526497,1.95E-29,8.48E-28
KCTD14,943.7412181,2.777712819,0.237185749,11.71112865,1.12E-31,5.66E-30
THRSP,322.5474235,-0.289249688,0.137047878,-2.110573998,0.034808945,0.06938552
NDUFC2,24.97610604,0.230977415,0.315853772,0.731279584,0.464608398,0.579875817
ME3,8.450606792,-1.542479809,0.700031157,-2.203444509,0.027563434,0.056618492
MSGN1,255.460642,-3.196409306,1.214854739,-2.631104117,0.008510796,0.020049012
ADAMTS12,973.6148133,-3.374336827,0.867678859,-3.88892364,0.00010069,0.000366013
NUBPL,307.8612486,-0.672972076,0.236540278,-2.845063358,0.004440259,0.011239288
NEK7,17.79520012,7.581793729,0.869446366,8.720254666,2.78E-18,5.88E-17
ATP6V1G3,51.88129264,4.828563293,0.586090152,8.238601651,1.74E-16,3.22E-15
