	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	118	-0.48687931511196	-1.13037638918962	0.246900826446281	0.798001665552466	0.726546041339002	3450	tags=41%, list=23%, signal=32%	ADRA2B/MYLK2/F2R/IGFBP5/TNNI1/PDE4B/TBXA2R/HRC/FLT1/UCN/PTGER3/NEDD4/KCNJ2/PTGS2/PAWR/CTGF/GJA5/PKP2/CACNA1C/PRKG1/RGS2/PDE5A/PTGS1/ERRFI1/KCNQ1/ADORA1/STC1/CAMK2B/ITGA2/AKAP6/GUCY1A3/CALCRL/IL6ST/SRL/IGF1/OXTR/SSTR2/PTGER4/CLIC2/PLCE1/SLC8A1/TNNI3K/TACR1/PLN/PIK3CG/P2RX1/TNNI2
GO_BEHAVIOR	GO_BEHAVIOR	GO_BEHAVIOR	282	-0.470923067486499	-1.13020731347198	0.165	0.671152512998267	0.611055368056189	2287	tags=29%, list=15%, signal=25%	ID2/BTG2/ANKH/BRAF/NR4A2/UCN/DACH1/THBS1/PBX3/AFF2/TAL1/JPH4/SLC12A5/PTGS2/DKK1/BHLHB9/SLC6A1/PTGS1/NDRG4/CXCL12/ATP8A2/KCNAB1/UCHL1/LGI4/HRH1/EGR2/CHL1/CCL3/FGF13/STAR/PDE1B/PTPRZ1/NTSR1/SEPP1/CPEB3/ADCY5/THBS4/NPTX2/PRKAR2B/SRPX2/DPP4/SLC1A3/DRD4/RNF180/IGF1/GCNT4/ADM2/PPP1R1B/OXTR/ATP8A1/MCHR1/MRAP2/PLCB1/NEGR1/NRXN3/AVPR1A/HPGDS/PTN/HTR2B/CEND1/OSM/IL1B/STRA6/NLGN4X/CX3CR1/CACNB4/RELN/PREX2/TACR1/DMRT3/KCNJ10/GLRB/CRHBP/CAMK4/NOVA1/CUX2/KIRREL3/SLC1A2/DBH/ITGA8/DDO/GHRL
GO_RESPONSE_TO_ESTROGEN	GO_RESPONSE_TO_ESTROGEN	GO_RESPONSE_TO_ESTROGEN	141	-0.484471447674223	-1.12970805806564	0.207003089598352	0.747440386595896	0.680512181189725	3474	tags=32%, list=23%, signal=25%	ADRB2/GHR/PDGFA/F3/PAM/ESR1/SFR1/DUSP1/AHR/POSTN/UCN/PTGER3/TGFB3/PTGS2/PAWR/CTGF/SLC6A1/BRCA2/NEFH/PTPRN/STAR/ITGA2/CD4/FAS/IGF1/OXTR/SOCS1/ZNF366/SFRP1/C3/PTN/SSTR2/ALDH1A2/IL1B/CCDC62/TNFRSF11B/TACR1/PTGFR/RGS9/CRHBP/IL10/KCNJ11/CD38/GHRL
GO_NEGATIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	103	-0.491871259900986	-1.12948867897599	0.246848739495798	0.798001665552466	0.726546041339002	1279	tags=10%, list=8%, signal=9%	HFE/FBP1/HTR2B/LAMP3/TIMP4/USP44/IL10/PTPN22/PIK3CG
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS	19	-0.586825347091846	-1.12917369258723	0.345959595959596	0.893814825600932	0.81377978425757	1464	tags=32%, list=10%, signal=29%	PAOX/SARDH/NOXRED1/PIPOX/DMGDH
GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	78	-0.500260697866544	-1.12907455293512	0.277185501066098	0.826548951983096	0.752537112338566	2396	tags=23%, list=16%, signal=20%	RGS2/RPH3AL/RGS1/RGS16/GPRASP1/GPR158/RASGRP4/PLCB1/C3/PLEK/HTR2B/ACPP/GIPR/PLCE1/PDE6B/RGS9/RGS18
GO_EATING_BEHAVIOR	GO_EATING_BEHAVIOR	GO_EATING_BEHAVIOR	10	-0.633961777167834	-1.12906719027131	0.358768406961178	0.90540801197622	0.824334879605197	4263	tags=80%, list=28%, signal=58%	BBS12/CPT1A/OPRL1/ATP8A2/UCHL1/OXTR/TACR1
GO_STAT_CASCADE	GO_STAT_CASCADE	GO_STAT_CASCADE	35	-0.541581077826733	-1.12901295341482	0.312131919905771	0.853542960263178	0.777113990686544	3361	tags=51%, list=22%, signal=40%	F2R/STAT1/IFNAR2/FER/CLCF1/LYN/CCL2/JAK2/NMI/JAK3/SOCS1/EGF/LIF/OSM/PRLR/STAT4/IL15
GO_PHOSPHATIDYLINOSITOL_KINASE_ACTIVITY	GO_PHOSPHATIDYLINOSITOL_KINASE_ACTIVITY	GO_PHOSPHATIDYLINOSITOL_KINASE_ACTIVITY	31	-0.549293229821194	-1.12895080300007	0.31145584725537	0.853542960263178	0.777113990686544	1292	tags=26%, list=8%, signal=24%	PIP5K1B/FGF18/FGF2/KL/FGF7/TLR9/PIK3CG
GO_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS	GO_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS	GO_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS	31	-0.549260394909206	-1.12888331809722	0.31145584725537	0.853542960263178	0.777113990686544	3224	tags=35%, list=21%, signal=28%	AHR/ATP2B1/ABCG2/ERRFI1/CCL2/STC1/STAR/SSTR2/IL6/FLT3
GO_COLLAGEN_FIBRIL_ORGANIZATION	GO_COLLAGEN_FIBRIL_ORGANIZATION	GO_COLLAGEN_FIBRIL_ORGANIZATION	25	-0.563392721117177	-1.12851631542838	0.337821297429621	0.889086301187142	0.809474667059807	3339	tags=40%, list=22%, signal=31%	SFRP2/ADAMTS14/COL14A1/DDR2/LUM/LOX/FMOD/DPT/CYP1B1
GO_REGULATION_OF_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	GO_REGULATION_OF_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	GO_REGULATION_OF_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	14	-0.61151251912616	-1.12835293076756	0.341176470588235	0.891197747880454	0.811397048055669	3542	tags=57%, list=23%, signal=44%	KCNG1/KCNAB1/KCNQ1/AKAP6/ANK3/KCNE3/KCNE1
GO_RESPONSE_TO_CALCIUM_ION	GO_RESPONSE_TO_CALCIUM_ION	GO_RESPONSE_TO_CALCIUM_ION	71	-0.501558975404222	-1.12829685213401	0.286937901498929	0.837238556569412	0.762269535503736	3165	tags=30%, list=21%, signal=24%	DUSP1/BRAF/RASA4/THBS1/NEDD4/SPAG16/PTK2B/SLC6A1/KCNMB3/KCNMB1/TRPC1/ALOX5AP/KCNMB4/IL6/GIPR/RASGRP2/KCNMA1/CRHBP/LIPC/DPEP1
GO_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GO_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GO_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	10	-0.633305949665437	-1.12789918087059	0.358768406961178	0.90540801197622	0.824334879605197	2646	tags=40%, list=17%, signal=33%	GRIK3/GRIK5/GRIN3A
GO_NEGATIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	GO_NEGATIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	GO_NEGATIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION	14	-0.611263997739452	-1.12789436315647	0.341176470588235	0.891197747880454	0.811397048055669	3066	tags=36%, list=20%, signal=29%	DLX2/ID4/MYCN/NTRK3
GO_IONOTROPIC_GLUTAMATE_RECEPTOR_COMPLEX	GO_IONOTROPIC_GLUTAMATE_RECEPTOR_COMPLEX	GO_IONOTROPIC_GLUTAMATE_RECEPTOR_COMPLEX	18	-0.589871291502047	-1.12734676242242	0.349306431273644	0.895002395414021	0.814861015267178	2646	tags=33%, list=17%, signal=28%	DLG3/SHISA7/GRIK5/DLG2/GRIN3A
GO_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION	GO_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION	GO_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION	43	-0.526682761510003	-1.12729654031471	0.30518018018018	0.847812840175873	0.771896963898828	3134	tags=42%, list=21%, signal=33%	HRC/UCN/KCNJ2/CTGF/GJA5/PKP2/CACNA1C/RGS2/PDE5A/KCNQ1/ADORA1/STC1/CLIC2/SLC8A1/TNNI3K/PLN/PIK3CG
GO_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS	GO_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS	GO_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS	136	-0.48353557054264	-1.127093304506	0.219487179487179	0.770009581848147	0.70106045843596	1748	tags=15%, list=11%, signal=13%	GATM/SARDH/GCNT4/GCH1/PIPOX/NOX4/TDO2/KMO/CLIC2/KYNU/CLIC6/CLIC5/CKM/PLA2G5/VNN1/PLA2G2A/LIPC/VNN2/DPEP1
GO_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	GO_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	GO_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	43	-0.526457606091571	-1.12681462417319	0.306306306306306	0.850267180249439	0.774131534503784	3301	tags=35%, list=22%, signal=27%	ID2/BTG2/PAX6/KIAA1524/LYN/PTPRZ1/VEGFC/GLI2/CDH2/EGF/PROX1/CEND1/IL1B/CX3CR1
GO_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	48	-0.521914758045715	-1.12674114968781	0.298109010011123	0.845208607817303	0.769525922844001	1856	tags=21%, list=12%, signal=18%	KCNE3/DRD4/RGN/CLIC2/CACNA2D1/CACNB4/TLR9/PLN/JSRP1
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	GO_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	GO_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	20	-0.579183103899344	-1.12669387036196	0.339575530586767	0.890537437733499	0.810795864193485	3149	tags=75%, list=21%, signal=60%	CACNA1A/DOC2A/RPH3A/RPH3AL/SYT11/SYT12/SYTL4/SYTL3/SYT15/C2CD4B/TC2N/SYT17/SYTL5/SYT6
GO_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	GO_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	GO_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	13	-0.619734869386706	-1.12652961505915	0.347240915208614	0.894080077771749	0.814021284899715	1152	tags=31%, list=8%, signal=28%	BCAR3/SOX11/PROX1
GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	11	-0.628309692017975	-1.12645262137469	0.348525469168901	0.89495544435384	0.814818268355256	2456	tags=45%, list=16%, signal=38%	DNAJA1/HSP90B1/DKK1/RELN
GO_MAIN_AXON	GO_MAIN_AXON	GO_MAIN_AXON	37	-0.537108081361879	-1.12616614716435	0.319719953325554	0.864496233243175	0.787086472533198	2187	tags=35%, list=14%, signal=30%	NFASC/BIN1/KCNAB1/ADORA1/TNFRSF1B/ANK3/KCNA2/DLG2/CRHBP/SLC1A2/KCNJ11/ERMN
GO_GLUTATHIONE_METABOLIC_PROCESS	GO_GLUTATHIONE_METABOLIC_PROCESS	GO_GLUTATHIONE_METABOLIC_PROCESS	35	-0.540176937876305	-1.1260857976161	0.314487632508834	0.857150168008681	0.780398197500784	964	tags=17%, list=6%, signal=16%	CLIC3/CLIC2/CLIC6/CLIC5/DPEP1
GO_DEFENSE_RESPONSE_TO_FUNGUS	GO_DEFENSE_RESPONSE_TO_FUNGUS	GO_DEFENSE_RESPONSE_TO_FUNGUS	11	-0.627895768476336	-1.12571052672861	0.348525469168901	0.89495544435384	0.814818268355256	378	tags=18%, list=2%, signal=18%	HAMP
GO_PERIKARYON	GO_PERIKARYON	GO_PERIKARYON	58	-0.511065911194726	-1.12529705094987	0.308533916849015	0.853542960263178	0.777113990686544	2241	tags=36%, list=15%, signal=31%	NEFH/KCNAB1/NGFR/PTPRN/GRIK3/CCL2/AMIGO1/CAMK2B/ITGA1/GNRH1/NTSR1/KCNE3/GRIK5/NELL2/DRP2/KCNA2/NAIP/CRHBP/TMEM100/ITGA8
GO_REGULATION_OF_HEART_MORPHOGENESIS	GO_REGULATION_OF_HEART_MORPHOGENESIS	GO_REGULATION_OF_HEART_MORPHOGENESIS	17	-0.595517465379666	-1.12521815626259	0.346347607052897	0.893814825600932	0.81377978425757	2686	tags=29%, list=18%, signal=24%	DKK1/BMP2/EYA1/POU5F1
GO_NEGATIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	18	-0.588727363335354	-1.12516051648412	0.353089533417402	0.898742165650045	0.818265914502093	2777	tags=39%, list=18%, signal=32%	EDNRA/AKAP6/DRD4/LPAR1/AKAP5/P2RY13
