	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_T_CELL_RECEPTOR_COMPLEX	GO_T_CELL_RECEPTOR_COMPLEX	GO_T_CELL_RECEPTOR_COMPLEX	15	0.906135418035565	1.60884656109094	0.00153139356814701	0.0332278593018893	0.0290752151673967	1200	tags=73%, list=8%, signal=68%	CD3G/CD3D/SKAP1/CD247/ZAP70/CD8A/CD6/CD3E/APBB1IP/SYK/CD4
GO_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	GO_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	GO_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	34	0.816433779957172	1.60946186791932	0.00134952766531714	0.0328711484593837	0.0287630841810408	801	tags=38%, list=5%, signal=36%	XCL1/SLAMF1/IL7R/IL12A/IL12RB1/LILRB1/SPN/PTPRC/SASH3/IL23A/RIPK3/RSAD2/IL1B
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	71	0.738455516916721	1.60946951977858	0.00117924528301887	0.0328711484593837	0.0287630841810408	1501	tags=48%, list=10%, signal=43%	XCL1/CCL19/CXCL11/CCR7/TNF/CCL21/TNFRSF18/CCR6/TACR1/SELP/IL12A/CXCL10/CXCL9/PTGER4/IL23A/PLA2G7/NCKAP1L/CXCL2/IL1B/CCL3/IL6/C3AR1/DAPK2/CMKLR1/CCR1/ADAM8/ITGA4/C5AR1/CXCL12/VEGFC/CCL2/CD74/PTK2B/CSF1
GO_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	GO_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	GO_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	37	0.803989222653632	1.60971265370421	0.00131752305665349	0.0328711484593837	0.0287630841810408	1071	tags=30%, list=7%, signal=28%	XCL1/CD40LG/MZB1/TNF/IL10/CD28/SASH3/IL33/IL6/TNFRSF4/CD40
GO_DENDRITIC_CELL_DIFFERENTIATION	GO_DENDRITIC_CELL_DIFFERENTIATION	GO_DENDRITIC_CELL_DIFFERENTIATION	23	0.847665615613047	1.61042599504023	0.00280112044817927	0.0513611694677871	0.0449423190328763	1352	tags=57%, list=9%, signal=52%	FLT3/CCL19/CCR7/CAMK4/LILRB1/UBD/CD86/BATF/SPI1/TREM2/BATF2/BATF3/LYN
GO_LYMPH_NODE_DEVELOPMENT	GO_LYMPH_NODE_DEVELOPMENT	GO_LYMPH_NODE_DEVELOPMENT	12	0.931456190270229	1.61098371919184	0.00156985871271586	0.0338023706306799	0.0295779270739607	747	tags=50%, list=5%, signal=48%	LTA/IL7R/LTB/IL15/RORC/RIPK3
GO_CYTOKINE_RECEPTOR_BINDING	GO_CYTOKINE_RECEPTOR_BINDING	GO_CYTOKINE_RECEPTOR_BINDING	146	0.706416863175969	1.61165944951424	0.00106951871657754	0.0328711484593837	0.0287630841810408	1820	tags=37%, list=12%, signal=33%	STAP1/XCL2/XCL1/LTA/CD40LG/FASLG/TNFSF11/CCL19/CXCL11/TNFSF8/TNFSF15/TNF/CCL22/EBI3/CCL21/IL10/IL7/LTB/CCL3L1/IL12A/IL12RB1/IL15/TLR9/CXCL10/CCL17/CD70/CXCL9/CCL13/GDF10/OSM/IL23A/CXCL2/IL1B/CCL3/IL34/IL6/CCL14/TNFSF10/CTF1/CCL18/CXCL12/LRG1/VEGFC/CCL2/JAK2/CSF1/INHBA/TNFSF4/CCL20/LIF/CXCL16/STAT1/TRAF1/CXCL14
GO_CYTOKINE_RECEPTOR_ACTIVITY	GO_CYTOKINE_RECEPTOR_ACTIVITY	GO_CYTOKINE_RECEPTOR_ACTIVITY	60	0.755407807258532	1.61348259200244	0.00121212121212121	0.0328711484593837	0.0287630841810408	1440	tags=47%, list=9%, signal=42%	FLT3/CCR4/IL9R/IL7R/CCR7/IL21R/CXCR3/CXCR6/EBI3/CCR6/IL2RA/IL12RB1/IL18R1/IL2RG/CX3CR1/IL2RB/IL15RA/IL1R2/CSF3R/IL10RA/CSF2RA/CMKLR1/CCR1/CCR10/CXCR4/IL3RA/PRLR/CD74
GO_LEUKOCYTE_MEDIATED_IMMUNITY	GO_LEUKOCYTE_MEDIATED_IMMUNITY	GO_LEUKOCYTE_MEDIATED_IMMUNITY	103	0.721239324435535	1.61359808219672	0.00111856823266219	0.0328711484593837	0.0287630841810408	1958	tags=48%, list=13%, signal=42%	CD40LG/CRTAM/SLAMF1/KLRD1/DBH/SLA2/GAPT/GZMB/PIK3CG/CD27/CR1/C7/CD8A/CAMK4/RASGRP1/MILR1/POU2F2/C3/CCL3/INPP5D/BATF/IL6/CORO1A/LAT/HLA-DRB5/C1QB/FCER1G/CLU/MICB/C2/C4A/HLA-DRB1/UNC13D/LYN/CD74/BTN3A3/C1S/SERPING1/DENND1B/VAMP8/FAS/RFTN1/STXBP2/C1R/CFI/IRF7/C1RL/IL6R/BTN3A2
GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION	GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION	GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION	33	0.821384511419165	1.61379670191134	0.00134952766531714	0.0328711484593837	0.0287630841810408	1522	tags=52%, list=10%, signal=46%	BLK/ITK/LCK/ZAP70/TXK/STYK1/BMX/MATK/BTK/FGR/HCK/SYK/JAK3/LYN/PTK2B/JAK2/TEC
GO_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	GO_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	GO_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	26	0.835873016652221	1.61517957168829	0.00277008310249307	0.0509912552278529	0.0446186347406728	1137	tags=46%, list=7%, signal=43%	GHRL/SLAMF1/PTPN22/CD274/IL10/LILRB1/LTF/NLRC3/PTGER4/HAVCR2/POMC/TLR4
GO_LYMPHOCYTE_HOMEOSTASIS	GO_LYMPHOCYTE_HOMEOSTASIS	GO_LYMPHOCYTE_HOMEOSTASIS	36	0.808325090061132	1.61518533078199	0.00131926121372032	0.0328711484593837	0.0287630841810408	1633	tags=39%, list=11%, signal=35%	GPR174/GAPT/SPTA1/IL2RA/TNFRSF13C/CACNA1F/NCKAP1L/RIPK3/CORO1A/LAT/JAK3/LYN/FAS/TNFAIP3
GO_NEGATIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	GO_NEGATIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	GO_NEGATIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	64	0.751260262997025	1.6153131337542	0.00240963855421687	0.047725077525291	0.041760646851229	1595	tags=41%, list=10%, signal=37%	XCL1/LAX1/TIGIT/PTPN22/CD274/IL10/IL2RA/LAG3/PDCD1LG2/LILRB1/SPN/TNFAIP8L2/LILRB2/HAVCR2/CD300A/HLA-G/IRF1/HLA-DRB5/ADRB2/JAK3/CDKN2A/HLA-DRB1/CD74/NFKBID/DTX1/TNFSF4
GO_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	GO_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	GO_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	84	0.730747143642107	1.61548930043777	0.0011441647597254	0.0328711484593837	0.0287630841810408	1707	tags=36%, list=11%, signal=32%	XCL1/LAX1/TIGIT/PTPN22/CD274/CCL21/IL10/IL2RA/LAG3/PDCD1LG2/LILRB1/SPN/TNFAIP8L2/LILRB2/HAVCR2/CD300A/HLA-G/IRF1/HLA-DRB5/ADRB2/JAK3/CDKN2A/HLA-DRB1/CXCL12/CD74/JAK2/NFKBID/DTX1/TNFSF4/CDH1
GO_POSITIVE_T_CELL_SELECTION	GO_POSITIVE_T_CELL_SELECTION	GO_POSITIVE_T_CELL_SELECTION	16	0.904218606789239	1.61550225842399	0.00153609831029186	0.0332278593018893	0.0290752151673967	893	tags=56%, list=6%, signal=53%	THEMIS/LY9/CD3D/SLAMF6/BCL11B/ZAP70/DOCK2/BATF/IL6
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	49	0.772738241292283	1.61644192063346	0.00124843945068664	0.0328711484593837	0.0287630841810408	1501	tags=55%, list=10%, signal=50%	XCL1/CCL19/CXCL11/CCR7/CCL21/CCR6/IL12A/CXCL10/CXCL9/IL23A/PLA2G7/NCKAP1L/CXCL2/IL1B/CCL3/IL6/C3AR1/DAPK2/CMKLR1/CCR1/C5AR1/CXCL12/VEGFC/CCL2/CD74/PTK2B/CSF1
GO_NECROTIC_CELL_DEATH	GO_NECROTIC_CELL_DEATH	GO_NECROTIC_CELL_DEATH	25	0.843556182181992	1.61647805239926	0.00275862068965517	0.0509912552278529	0.0446186347406728	1672	tags=48%, list=11%, signal=43%	FASLG/TNF/TICAM2/RIPK3/TLR3/TLR4/MLKL/CASP1/MAP3K5/CD14/FAS/LY96
GO_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	GO_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	GO_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	24	0.847107927360234	1.61653979746267	0.00139664804469274	0.0328711484593837	0.0287630841810408	1922	tags=62%, list=13%, signal=55%	TNF/PTPN22/CD6/IL18/IL1B/CCL3/HCK/TLR4/IRAK2/LYN/CCL2/TLR2/CD14/LY96/NFKBIA
GO_HOMEOSTASIS_OF_NUMBER_OF_CELLS	GO_HOMEOSTASIS_OF_NUMBER_OF_CELLS	GO_HOMEOSTASIS_OF_NUMBER_OF_CELLS	130	0.71224129424511	1.61667064314741	0.00108813928182807	0.0328711484593837	0.0287630841810408	1638	tags=27%, list=11%, signal=24%	GPR174/FLT3/CCR4/IL7R/GAPT/CCR7/RLTPR/IL7/SPTA1/IL2RA/CD7/TNFRSF13C/IKZF1/GCNT4/SASH3/CACNA1F/NCKAP1L/RIPK3/FLT3LG/IL6/CORO1A/LAT/HCLS1/SPI1/AMPD3/HCAR2/JAK3/LYN/JAK2/CSF1/INHBA/RASSF2/FAS/TNFAIP3/KLF2
GO_FATTY_ACID_BETA_OXIDATION	GO_FATTY_ACID_BETA_OXIDATION	GO_FATTY_ACID_BETA_OXIDATION	43	0.79511354499275	1.61680189985177	0.0012970168612192	0.0328711484593837	0.0287630841810408	81	tags=5%, list=1%, signal=5%	SLC27A2/ABCD2
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	153	0.706929886718119	1.61807374301827	0.00105932203389831	0.0328711484593837	0.0287630841810408	2237	tags=34%, list=15%, signal=29%	TLR10/CLEC4E/KLRK1/AIM2/MARCO/TLR9/CLEC4A/FCN1/CD180/TICAM2/CLEC7A/BIRC3/NLRC4/CARD9/CD86/BTK/HAVCR2/HCK/PIK3AP1/TLR6/CD209/TLR3/ITGAM/ITGB2/ADAM8/FCER1G/TLR4/SYK/MB21D1/ICAM2/IRAK2/LYN/TLR2/IFIH1/CD14/DDX58/FFAR2/TNFAIP3/RFTN1/IRAK3/LY96/ICAM3/PSMB8/PSMB10/IRF7/NFKBIA/RELB/PYCARD/PSME2/UNC93B1/LGMN/PSME1
GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	27	0.834253934413936	1.61812880741089	0.00276625172890733	0.0509912552278529	0.0446186347406728	1452	tags=33%, list=10%, signal=30%	CD40LG/GAPT/CD180/GPR183/PLCL2/BATF/MFNG/TLR4/PTK2B
GO_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	GO_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	GO_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	91	0.727970152589676	1.61953514534666	0.00112739571589628	0.0328711484593837	0.0287630841810408	2349	tags=33%, list=15%, signal=28%	ZBP1/PTPN22/IL10/LILRB1/TLR9/HAVCR2/IRF1/TLR3/TLR4/SYK/MB21D1/IRF5/NLRC5/NMI/TLR2/UBA7/IFIH1/CD14/UBE2L6/DDX58/HERC5/TNFAIP3/DHX58/TRIM21/IRF7/RELB/PYCARD/NFKB2/REL/IKBKE
GO_NEGATIVE_REGULATION_OF_CELL_ACTIVATION	GO_NEGATIVE_REGULATION_OF_CELL_ACTIVATION	GO_NEGATIVE_REGULATION_OF_CELL_ACTIVATION	105	0.721774694938796	1.61995710564422	0.00111607142857143	0.0328711484593837	0.0287630841810408	1633	tags=40%, list=11%, signal=36%	BANK1/XCL1/LAX1/TIGIT/SLA2/PTPN22/CD274/IL10/TSPAN32/IL2RA/LAG3/TBC1D10C/PDCD1LG2/LILRB1/CD84/SAMSN1/MILR1/SPN/MNDA/TNFAIP8L2/LILRB2/LST1/HAVCR2/INPP5D/CD300A/HLA-G/FOXF1/IRF1/PRDM1/HLA-DRB5/ADRB2/JAK3/CDKN2A/HLA-DRB1/LYN/CD74/NFKBID/DTX1/INHBA/TNFSF4/FAS/TNFAIP3
GO_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	GO_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	GO_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	15	0.912940080173131	1.62092826219378	0.00153139356814701	0.0332278593018893	0.0290752151673967	1015	tags=67%, list=7%, signal=62%	P2RY10/GPR171/P2RX1/P2RY12/P2RY13/P2RY14/P2RY8/GPR34/P2RY6/P2RX5
GO_POSITIVE_REGULATION_OF_NEUTROPHIL_MIGRATION	GO_POSITIVE_REGULATION_OF_NEUTROPHIL_MIGRATION	GO_POSITIVE_REGULATION_OF_NEUTROPHIL_MIGRATION	19	0.88265730688311	1.62100789532883	0.00146842878120411	0.0329195595764079	0.0288054451297611	1440	tags=74%, list=9%, signal=67%	XCL1/CCL19/CCR7/CCL21/PTGER4/IL23A/NCKAP1L/CXCL2/IL1B/C3AR1/DAPK2/ADAM8/C5AR1/CD74
GO_CCR_CHEMOKINE_RECEPTOR_BINDING	GO_CCR_CHEMOKINE_RECEPTOR_BINDING	GO_CCR_CHEMOKINE_RECEPTOR_BINDING	18	0.886921933731383	1.62138783016637	0.00147275405007364	0.0329195595764079	0.0288054451297611	1369	tags=67%, list=9%, signal=61%	XCL2/XCL1/CCL19/CCL22/CCL21/CCL3L1/CCL17/CCL13/CCL3/CCL14/CCL18/CCL2
