measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Dietary risks,Rate,1990,2468.144538867622,2931.37449399568,2079.7245150415306
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Dietary risks,Percent,1990,0.06639867954687878,0.07986926686267837,0.05567690226873618
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Dietary risks,Rate,1990,3321.504870814016,3952.959450857191,2783.6849191506285
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low physical activity,Number,1990,8610219.336500943,15888866.250800556,4279938.3151525855
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low physical activity,Percent,1990,0.0033222166875288136,0.006448153207639074,0.0016528672124354726
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low physical activity,Rate,1990,160.94326119283357,296.99660962409394,80.00112461998536
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Low physical activity,Percent,1990,0.00485727917864623,0.009305782958415984,0.0024243327024130318
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Low physical activity,Rate,1990,242.98174108722193,463.63190289507776,122.15730314336197
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Occupational risks,Number,1990,63055880.57631578,70977417.25356588,55069275.21402059
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Occupational risks,Percent,1990,0.02430001357970591,0.026387449241896732,0.022239710364438992
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Occupational risks,Rate,1990,1178.6481459672398,1326.7184676012755,1029.3615526026724
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Occupational risks,Percent,1990,0.026752751907608115,0.028932180496259074,0.024527152529106946
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Occupational risks,Rate,1990,1339.9934676851328,1505.0187527557505,1170.025437868524
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Tobacco,Number,1990,200785029.59654215,215585558.5317807,185597479.64867693
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Tobacco,Percent,1990,0.07746597120215479,0.08344763928001359,0.0710422004242071
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Tobacco,Rate,1990,3753.0980569769645,4029.751333870627,3469.210536507382
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Tobacco,Percent,1990,0.09462709527648282,0.10112982145765911,0.08780791589789692
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Tobacco,Rate,1990,4733.944396613948,5029.600609439417,4430.349485958627
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Alcohol use,Number,1990,67807885.76841821,76067066.10497794,60313564.35625078
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Alcohol use,Percent,1990,0.026152877753690934,0.029044715399248848,0.02348612968741745
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Alcohol use,Rate,1990,1267.4732017448637,1421.8547994947094,1127.3884395149055
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Alcohol use,Percent,1990,0.029498159826759653,0.03288320014290468,0.026423277275363317
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Alcohol use,Rate,1990,1476.1727578272782,1657.7289644511397,1314.3919290414087
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Non-optimal temperature,Number,1990,40447924.10912203,58657975.44744082,32568518.871735573
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Non-optimal temperature,Percent,1990,0.015607331922436626,0.022590571139187443,0.012450415215213548
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Non-optimal temperature,Rate,1990,756.0574893842171,1096.4419713977709,608.7746937196623
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Non-optimal temperature,Percent,1990,0.018020555795916396,0.023491268303321135,0.01508337316602833
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Non-optimal temperature,Rate,1990,901.2828249655016,1172.1365516985093,756.0124220185326
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Kidney dysfunction,Number,1990,42090331.23650002,47117510.816121355,37406192.07065919
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Kidney dysfunction,Percent,1990,0.016237407527738775,0.01805921152797994,0.014386248298603329
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Kidney dysfunction,Rate,1990,786.7575620485674,880.7262107584013,699.2010662418219
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Kidney dysfunction,Percent,1990,0.020469632965718687,0.022981929752643925,0.017914253006366475
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Kidney dysfunction,Rate,1990,1024.1294646677634,1154.8049380119207,898.3788971436145
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High LDL cholesterol,Number,1990,69718898.07369426,83278990.52809419,58516399.55657796
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High LDL cholesterol,Percent,1990,0.026904088295377767,0.032215733882768854,0.02245488048437074
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High LDL cholesterol,Rate,1990,1303.1940748806828,1556.6609630510804,1093.795617722998
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High LDL cholesterol,Percent,1990,0.035585324948591825,0.04315035315577593,0.029109542500442523
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High LDL cholesterol,Rate,1990,1779.8651445948426,2154.3355918716397,1465.1333896874185
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Childhood sexual abuse and bullying,Number,1990,4713229.191048554,8147986.335448735,2185089.0291306754
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Childhood sexual abuse and bullying,Percent,1990,0.0018119830712671184,0.00311077191272781,0.0008602905589895635
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Childhood sexual abuse and bullying,Rate,1990,88.10025007619411,152.30314603282616,40.84394840606804
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Childhood sexual abuse and bullying,Percent,1990,0.001739023041312032,0.002993061798167027,0.0008307489889242738
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Childhood sexual abuse and bullying,Rate,1990,87.32474995516404,150.67862110215924,41.42057733218148
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,"Unsafe water, sanitation, and handwashing",Number,2019,87538461.19475682,108592067.69821715,69748717.14223668
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,"Unsafe water, sanitation, and handwashing",Percent,2019,0.03450935596767427,0.043103400517735924,0.02778528307378966
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,"Unsafe water, sanitation, and handwashing",Rate,2019,1131.358467691281,1403.4580187690274,901.4414997987179
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Percent,2019,0.03788290858318018,0.04668763155298236,0.030649905477371515
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2019,1244.2928152674708,1544.1250918845126,993.1986294977213
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Air pollution,Number,2019,213284886.63351315,239530188.99946108,188894775.4286593
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Air pollution,Percent,2019,0.08414928705743566,0.09426662788678818,0.07462951706617336
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Air pollution,Rate,2019,2756.5216389462094,3095.7193431732903,2441.300666782303
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Air pollution,Percent,2019,0.08504824877867904,0.0951889992214385,0.07560965669808352
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Air pollution,Rate,2019,2791.0848912511046,3141.3929322603876,2468.8132844761017
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Other environmental risks,Number,2019,23561861.602421537,32524843.53586137,15480385.121776681
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Other environmental risks,Percent,2019,0.009296397353533933,0.012862822403167511,0.0060987299951488685
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Other environmental risks,Rate,2019,304.5165664857072,420.35531173850217,200.07051245370957
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Other environmental risks,Percent,2019,0.008843489588691102,0.012205334689341669,0.005792697648971467
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Other environmental risks,Rate,2019,290.1840899527336,400.5251617216241,190.65174782230912
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Child and maternal malnutrition,Number,2019,294779309.4235401,349534865.05704343,252994742.37972838
