"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_24862","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_24863","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_24864","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ASV_24865","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga"
"ASV_24866","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae",NA
"ASV_24867","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_24868","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV_24869","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ASV_24870","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10"
"ASV_24871","Bacteria","Chloroflexi","AD3",NA,NA,NA
"ASV_24872","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA
"ASV_24873","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcales Incertae Sedis","Luteimicrobium"
"ASV_24874","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA
"ASV_24875","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus"
"ASV_24876","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27 clade"
"ASV_24877","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_24878","Bacteria","Firmicutes",NA,NA,NA,NA
"ASV_24879","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA
"ASV_24880","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","Aliifodinibius"
"ASV_24881","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA
"ASV_24882","Archaea","Halobacterota","Halobacteria","Halobacterales","Halomicrobiaceae","Halosimplex"
"ASV_24883","Archaea","Halobacterota","Halobacteria","Halobacterales","Haloferacaceae",NA
"ASV_24884","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA
"ASV_24885","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas"
"ASV_24886","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Limibaculum"
"ASV_24887","Bacteria","Gemmatimonadota","BD2-11 terrestrial group",NA,NA,NA
"ASV_24888","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"ASV_24889","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA
"ASV_24890","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","Thermomicrobiaceae","Nitrolancea"
"ASV_24891","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_24892","Archaea","Thermoplasmatota","Thermoplasmata","Marine Group II",NA,NA
"ASV_24893","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"ASV_24894","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Tistlia"
"ASV_24895","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA
"ASV_24896","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Chelativorans"
"ASV_24897","Bacteria","Deinococcota","Deinococci","Deinococcales","Trueperaceae","Truepera"
"ASV_24898","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"ASV_24899","Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256",NA,NA
"ASV_24900","Bacteria","Armatimonadota",NA,NA,NA,NA
"ASV_24901","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
