"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_37794","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paeniglutamicibacter"
"ASV_37795","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Nordella"
"ASV_37796","Bacteria","Actinobacteriota","Actinobacteria","0319-7L14",NA,NA
"ASV_37797","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"ASV_37798","Bacteria","Chloroflexi","Dehalococcoidia","S085",NA,NA
"ASV_37799","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA
"ASV_37800","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA
"ASV_37801","Bacteria","Armatimonadota","Armatimonadia","Armatimonadales",NA,NA
"ASV_37802","Bacteria","Planctomycetota","Pla4 lineage",NA,NA,NA
"ASV_37803","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA
"ASV_37804","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales",NA,NA
"ASV_37805","Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae",NA
"ASV_37806","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter"
"ASV_37807","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_37808","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","AKYG1722",NA
"ASV_37809","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV_37810","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter"
"ASV_37811","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas"
"ASV_37812","Bacteria","Armatimonadota",NA,NA,NA,NA
"ASV_37813","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_37814","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV_37815","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter"
"ASV_37816","Bacteria","Actinobacteriota","MB-A2-108",NA,NA,NA
"ASV_37817","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ASV_37818","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae",NA
"ASV_37819","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA
"ASV_37820","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingoaurantiacus"
"ASV_37821","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA
"ASV_37822","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae",NA
"ASV_37823","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_37824","Bacteria","Acidobacteriota","Subgroup 5",NA,NA,NA
"ASV_37825","Bacteria","Armatimonadota",NA,NA,NA,NA
"ASV_37826","Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup 9",NA,NA
"ASV_37827","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella"
"ASV_37828","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ASV_37829","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Asanoa"
"ASV_37830","Bacteria","Armatimonadota",NA,NA,NA,NA
"ASV_37831","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter"
"ASV_37832","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_37833","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"ASV_37834","Bacteria","Chloroflexi","JG30-KF-CM66",NA,NA,NA
"ASV_37835","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767",NA
"ASV_37836","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"ASV_37837","Bacteria","Chloroflexi","Dehalococcoidia","SAR202 clade",NA,NA
"ASV_37838","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Thalassobacillus"
"ASV_37839","Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales","Bradymonadaceae",NA
"ASV_37840","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA
"ASV_37841","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter"
"ASV_37842","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula"
"ASV_37843","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_37844","Bacteria","NB1-j",NA,NA,NA,NA
"ASV_37845","Bacteria","Planctomycetota","OM190",NA,NA,NA
"ASV_37846","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20",NA
"ASV_37847","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA
"ASV_37848","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"ASV_37849","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"ASV_37850","Bacteria","Planctomycetota","OM190",NA,NA,NA
"ASV_37851","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"ASV_37852","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV_37853","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium"
"ASV_37854","Bacteria","Planctomycetota","OM190",NA,NA,NA
"ASV_37855","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA
"ASV_37856","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","Ardenticatenaceae",NA
"ASV_37857","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Planctopirus"
"ASV_37858","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067"
"ASV_37859","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage"
"ASV_37860","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ASV_37861","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_37862","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Roseisolibacter"
"ASV_37863","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"ASV_37864","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA
"ASV_37865","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA
"ASV_37866","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA
"ASV_37867","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ASV_37868","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"ASV_37869","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga"
"ASV_37870","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","Nitrosococcus"
"ASV_37871","Bacteria","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans"
"ASV_37872","Bacteria","Elusimicrobiota","Lineage IIa",NA,NA,NA
"ASV_37873","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"ASV_37874","Bacteria","Armatimonadota",NA,NA,NA,NA
"ASV_37875","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"ASV_37876","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA
"ASV_37877","Bacteria","Planctomycetota","OM190",NA,NA,NA
"ASV_37878","Bacteria","Halanaerobiaeota","Halanaerobiia","Halanaerobiales","Halobacteroidaceae",NA
"ASV_37879","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ASV_37880","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Gracilibacter",NA
"ASV_37881","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ASV_37882","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_37883","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ASV_37884","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_37885","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_37886","Bacteria","Actinobacteriota","MB-A2-108",NA,NA,NA
"ASV_37887","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_37888","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_37889","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_37890","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA
"ASV_37891","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_37892","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_37893","Bacteria","Actinobacteriota","Actinobacteria","Frankiales",NA,NA
"ASV_37894","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA
"ASV_37895","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"ASV_37896","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA
"ASV_37897","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_37898","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA
"ASV_37899","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus"
"ASV_37900","Bacteria","Armatimonadota","Chthonomonadetes","Chthonomonadales",NA,NA
"ASV_37901","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_37902","Bacteria","Armatimonadota","Armatimonadia","Armatimonadales",NA,NA
"ASV_37903","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"ASV_37904","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV_37905","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ASV_37906","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"ASV_37907","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella"
"ASV_37908","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",NA
"ASV_37909","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA
"ASV_37910","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter"
"ASV_37911","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Phytoactinopolyspora"
"ASV_37912","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae",NA
"ASV_37913","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"ASV_37914","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA
"ASV_37915","Bacteria","Actinobacteriota","Actinobacteria","Nitriliruptorales","Nitriliruptoraceae",NA
"ASV_37916","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula"
"ASV_37917","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV_37918","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_37919","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"ASV_37920","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"ASV_37921","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA
"ASV_37922","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_37923","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA
"ASV_37924","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"ASV_37925","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781",NA
"ASV_37926","Bacteria","Actinobacteriota",NA,NA,NA,NA
"ASV_37927","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"ASV_37928","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_37929","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV_37930","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae",NA
"ASV_37931","Bacteria","Planctomycetota","OM190",NA,NA,NA
"ASV_37932","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_37933","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae",NA
"ASV_37934","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfatitalea"
"ASV_37935","Bacteria","Acidobacteriota","Subgroup 22",NA,NA,NA
"ASV_37936","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20",NA
"ASV_37937","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Anseongella"
"ASV_37938","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales",NA,NA
"ASV_37939","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus"
"ASV_37940","Bacteria","Myxococcota","bacteriap25",NA,NA,NA
"ASV_37941","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura"
"ASV_37942","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_37943","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV_37944","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA
"ASV_37945","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"ASV_37946","Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter"
"ASV_37947","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ASV_37948","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus"
"ASV_37949","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_37950","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"ASV_37951","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Leptothrix"
"ASV_37952","Bacteria","Armatimonadota",NA,NA,NA,NA
"ASV_37953","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_37954","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura"
"ASV_37955","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Sporocytophaga"
"ASV_37956","Bacteria","Gemmatimonadota","BD2-11 terrestrial group",NA,NA,NA
"ASV_37957","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"ASV_37958","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ASV_37959","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae",NA
"ASV_37960","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"ASV_37961","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_37962","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA
"ASV_37963","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA
"ASV_37964","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","FFCH7168"
"ASV_37965","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_37966","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_37967","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ASV_37968","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"ASV_37969","Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales","Bradymonadaceae",NA
"ASV_37970","Archaea","Halobacterota","Halobacteria","Halobacterales","Halomicrobiaceae","Natronomonas"
"ASV_37971","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","MWH-CFBk5",NA
"ASV_37972","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae",NA
"ASV_37973","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus"
"ASV_37974","Bacteria","Actinobacteriota","Actinobacteria","0319-7L14",NA,NA
"ASV_37975","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_37976","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA
"ASV_37977","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","OLB8"
"ASV_37978","Bacteria","Actinobacteriota","Actinobacteria","Euzebyales","Euzebyaceae",NA
"ASV_37979","Bacteria","Chloroflexi","Gitt-GS-136",NA,NA,NA
"ASV_37980","Bacteria","Patescibacteria","Microgenomatia","Candidatus Daviesbacteria",NA,NA
"ASV_37981","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"ASV_37982","Bacteria",NA,NA,NA,NA,NA
"ASV_37983","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"ASV_37984","Bacteria","Actinobacteriota","Actinobacteria","Nitriliruptorales","Nitriliruptoraceae",NA
"ASV_37985","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA
"ASV_37986","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_37987","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"ASV_37988","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Parviterribacter"
"ASV_37989","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Longispora"
"ASV_37990","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055"
"ASV_37991","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_37992","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_37993","Bacteria","Latescibacterota",NA,NA,NA,NA
"ASV_37994","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV_37995","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"ASV_37996","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"ASV_37997","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ASV_37998","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"ASV_37999","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781",NA
"ASV_38000","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20",NA
"ASV_38001","Bacteria","Actinobacteriota","Actinobacteria",NA,NA,NA
"ASV_38002","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_38003","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea"
"ASV_38004","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_38005","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ASV_38006","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"ASV_38007","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Ferribacterium"
"ASV_38008","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"ASV_38009","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV_38010","Bacteria","Gemmatimonadota",NA,NA,NA,NA
"ASV_38011","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Jiangella"
"ASV_38012","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Pelagibacterium"
"ASV_38013","Bacteria","Gemmatimonadota","BD2-11 terrestrial group",NA,NA,NA
"ASV_38014","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"ASV_38015","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA
"ASV_38016","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Phytoactinopolyspora"
"ASV_38017","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_38018","Bacteria","Actinobacteriota","MB-A2-108",NA,NA,NA
"ASV_38019","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Nafulsella"
"ASV_38020","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17",NA
"ASV_38021","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Pelagibius"
"ASV_38022","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_38023","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter"
"ASV_38024","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ASV_38025","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_38026","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV_38027","Bacteria","Chloroflexi","Dehalococcoidia","S085",NA,NA
"ASV_38028","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia"
"ASV_38029","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_38030","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","AKYG1722",NA
"ASV_38031","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia"
"ASV_38032","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_38033","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon"
"ASV_38034","Bacteria","Planctomycetota","OM190",NA,NA,NA
"ASV_38035","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10"
"ASV_38036","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA
"ASV_38037","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_38038","Bacteria","Elusimicrobiota","Lineage IIb",NA,NA,NA
"ASV_38039","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Actibacterium"
"ASV_38040","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter"
"ASV_38041","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ASV_38042","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"ASV_38043","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrococcales","Nitrococcaceae","Nitrococcus"
"ASV_38044","Bacteria","Gemmatimonadota","PAUC43f marine benthic group",NA,NA,NA
"ASV_38045","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus"
"ASV_38046","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA
"ASV_38047","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Salinimicrobium"
"ASV_38048","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Bogoriellaceae","Georgenia"
"ASV_38049","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV_38050","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ASV_38051","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales",NA,NA
"ASV_38052","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Longispora"
"ASV_38053","Bacteria","Chloroflexi","SHA-26",NA,NA,NA
"ASV_38054","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_38055","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Antarcticibacterium"
"ASV_38056","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_38057","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"ASV_38058","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","SZB85"
"ASV_38059","Bacteria","Chloroflexi","SHA-26",NA,NA,NA
"ASV_38060","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Antarcticibacterium"
"ASV_38061","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",NA
"ASV_38062","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Frankia"
