"","cellnumber","orig.ident","celltype","cluster"
"223",1,"HC","Stromal fibroblasts","cluster  1"
"224",668,"HC","Unciliated epithelial cells","cluster  1"
"225",1,"HC","Ciliated epithelial cells","cluster  2"
"226",888,"HC","Endothelial cells","cluster  2"
"227",0,"HC","Lymphocytes","cluster  2"
"228",0,"HC","Macrophages","cluster  2"
"229",0,"HC","Smooth muscle cells","cluster  2"
"230",0,"HC","Stromal fibroblasts","cluster  2"
"231",0,"HC","Unciliated epithelial cells","cluster  2"
"232",0,"HC","Ciliated epithelial cells","cluster  3"
"233",0,"HC","Endothelial cells","cluster  3"
"234",0,"HC","Lymphocytes","cluster  3"
"235",0,"HC","Macrophages","cluster  3"
"236",0,"HC","Smooth muscle cells","cluster  3"
"237",437,"HC","Stromal fibroblasts","cluster  3"
"238",0,"HC","Unciliated epithelial cells","cluster  3"
"239",0,"HC","Ciliated epithelial cells","cluster  4"
"240",0,"HC","Endothelial cells","cluster  4"
"241",1159,"HC","Lymphocytes","cluster  4"
"242",0,"HC","Macrophages","cluster  4"
"243",0,"HC","Smooth muscle cells","cluster  4"
"244",0,"HC","Stromal fibroblasts","cluster  4"
"245",0,"HC","Unciliated epithelial cells","cluster  4"
"246",0,"HC","Ciliated epithelial cells","cluster  5"
"247",0,"HC","Endothelial cells","cluster  5"
"248",0,"HC","Lymphocytes","cluster  5"
"249",0,"HC","Macrophages","cluster  5"
"250",575,"HC","Smooth muscle cells","cluster  5"
"251",0,"HC","Stromal fibroblasts","cluster  5"
"252",0,"HC","Unciliated epithelial cells","cluster  5"
"253",0,"HC","Ciliated epithelial cells","cluster  6"
"254",0,"HC","Endothelial cells","cluster  6"
"255",81,"HC","Lymphocytes","cluster  6"
"256",0,"HC","Macrophages","cluster  6"
"257",0,"HC","Smooth muscle cells","cluster  6"
"258",0,"HC","Stromal fibroblasts","cluster  6"
"259",0,"HC","Unciliated epithelial cells","cluster  6"
"260",377,"HC","Ciliated epithelial cells","cluster  7"
"261",0,"HC","Endothelial cells","cluster  7"
"262",0,"HC","Lymphocytes","cluster  7"
"263",0,"HC","Macrophages","cluster  7"
"264",0,"HC","Smooth muscle cells","cluster  7"
"265",0,"HC","Stromal fibroblasts","cluster  7"
"266",0,"HC","Unciliated epithelial cells","cluster  7"
"267",0,"HC","Ciliated epithelial cells","cluster  8"
"268",0,"HC","Endothelial cells","cluster  8"
"269",0,"HC","Lymphocytes","cluster  8"
"270",62,"HC","Macrophages","cluster  8"
"271",0,"HC","Smooth muscle cells","cluster  8"
