gene,immune_cells,cor,p.value
KIAA2026,Macrophages,0.242506608601494,4.5038194774698e-10
KIAA2026,Mast.cells,0.408355021870265,2.83072232803466e-27
KIAA2026,Neutrophils,0.0502405562173249,0.202915275237181
KIAA2026,NK.CD56bright.cells,0.0542877260704291,0.168819639940312
KIAA2026,NK.CD56dim.cells,0.0886512462649601,0.024463113772924
KIAA2026,NK.cells,0.441289655532889,4.53551420920849e-32
KIAA2026,pDC,0.213169366875048,4.70736374956442e-08
KIAA2026,T.cells,0.150391675661054,0.000127671527649453
KIAA2026,T.helper.cells,-0.109589231812131,0.00536848228141964
KIAA2026,Tcm,-0.084902463542249,0.0312175801034863
KIAA2026,Tem,0.275739058038924,1.06055703900412e-12
KIAA2026,TFH,0.291133817211692,4.78421532017562e-14
KIAA2026,Tgd,0.14327512550793,0.000264611749790165
KIAA2026,Th1.cells,0.0791746084146401,0.0445926585031709
KIAA2026,Th17.cells,-0.19383728711596,7.17494349513273e-07
KIAA2026,Th2.cells,-0.300271562631461,6.93814397346689e-15
KIAA2026,TReg,0.2786222890937,6.02303683882638e-13
TNFSF9,aDC,0.472088970901893,4.68260945164208e-37
TNFSF9,B.cells,-0.0750302661832922,0.057035494969899
TNFSF9,CD8.T.cells,0.198133296461315,4.00701651175135e-07
TNFSF9,Cytotoxic.cells,0.384021078619359,4.64814566296281e-24
TNFSF9,DC,0.187333425375033,1.69126292342999e-06
TNFSF9,Eosinophils,-0.0991659188026859,0.0118067330075756
TNFSF9,iDC,0.181375243037427,3.61590415124945e-06
TNFSF9,Macrophages,0.168910293691958,1.63894532773964e-05
TNFSF9,Mast.cells,0.0855378040410399,0.0299713935581249
TNFSF9,Neutrophils,0.118770452607288,0.00253700395902329
TNFSF9,NK.CD56bright.cells,0.216966734436207,2.67180766710654e-08
TNFSF9,NK.CD56dim.cells,0.135130120434957,0.000585295344196022
TNFSF9,NK.cells,0.225244521343661,7.49720690709849e-09
TNFSF9,pDC,0.149447084453455,0.00014090670031504
TNFSF9,T.cells,0.212956096456888,4.85801226793766e-08
TNFSF9,T.helper.cells,-0.212332203538709,5.3259688007077e-08
TNFSF9,Tcm,-0.271694342342594,2.31947308619641e-12
TNFSF9,Tem,0.0174627778307525,0.658251569039495
TNFSF9,TFH,-0.0220774931945979,0.575995418372912
TNFSF9,Tgd,-0.0619892225454914,0.116051323157613
TNFSF9,Th1.cells,0.288700757986311,7.90774573950646e-14
TNFSF9,Th17.cells,-0.0616055256111128,0.118330523056103
TNFSF9,Th2.cells,-0.080578568551249,0.0409330842743703
TNFSF9,TReg,0.247463621509542,1.92745993610954e-10
SP3,aDC,0.0695643560689961,0.0777230038461358
SP3,B.cells,-0.178489858926726,5.17879617050852e-06
SP3,CD8.T.cells,0.100323472285791,0.0108526523408224
SP3,Cytotoxic.cells,0.127783949828812,0.00115476005602633
SP3,DC,-0.0847652307657647,0.0314925046615809
SP3,Eosinophils,-0.223516445944523,9.81532902589172e-09
SP3,iDC,-0.00341238497629871,0.931125680240767
SP3,Macrophages,-0.00454735429961126,0.908306158779515
SP3,Mast.cells,0.051374711377653,0.192892071626717
SP3,Neutrophils,-0.0301093653909677,0.445595468653913
SP3,NK.CD56bright.cells,0.280984216968753,3.77023385963133e-13
SP3,NK.CD56dim.cells,-0.0720453899845444,0.0676802281000119
SP3,NK.cells,0.165339219861953,2.47856229050603e-05
SP3,pDC,-0.00876701641077605,0.824271861927795
SP3,T.cells,-0.0555028660152303,0.159470957021472
SP3,T.helper.cells,-0.210218412711611,7.25800793770236e-08
SP3,Tcm,-0.111872934882477,0.00447712213921134
SP3,Tem,-0.0290782516834778,0.461337962277483
SP3,TFH,-0.146089026371743,0.000199145716069459
SP3,Tgd,-0.0971166307722005,0.0136789211807478
SP3,Th1.cells,0.0554530632987219,0.159846272424955
SP3,Th17.cells,0.00275689060377807,0.944331949102196
SP3,Th2.cells,-0.0473039658080335,0.230613856129983
SP3,TReg,-0.00537929413489857,0.891626050220747
ARHGAP31,aDC,-0.0282388632955714,0.474378914344377
ARHGAP31,B.cells,0.0613467609632701,0.119887283989326
ARHGAP31,CD8.T.cells,0.0351662255554362,0.372950296524643
ARHGAP31,Cytotoxic.cells,-0.0528965360413332,0.180019671512044
ARHGAP31,DC,-0.0372713282038736,0.345000583216215
ARHGAP31,Eosinophils,0.0307668465525052,0.435718960384534
ARHGAP31,iDC,-0.035585028202525,0.367281102295886
ARHGAP31,Macrophages,-0.0169212174626733,0.668207929580001
ARHGAP31,Mast.cells,-0.0307378272755614,0.436152205880913
ARHGAP31,Neutrophils,-0.0312555572132298,0.428460005135284
ARHGAP31,NK.CD56bright.cells,-0.0673280376660221,0.0877826073522557
ARHGAP31,NK.CD56dim.cells,0.000665601643498466,0.986549689170151
ARHGAP31,NK.cells,-0.0300331638043317,0.446748321390345
ARHGAP31,pDC,0.018614669242002,0.637276236118062
ARHGAP31,T.cells,0.0244739003200611,0.535281329863322
ARHGAP31,T.helper.cells,0.0530784704448152,0.178524433788884
ARHGAP31,Tcm,0.140184410131012,0.000359436030666681
ARHGAP31,Tem,0.0285479470465717,0.469553552323098
ARHGAP31,TFH,0.0508623177281392,0.197374517077238
ARHGAP31,Tgd,0.0704620494029961,0.0739578668465871
ARHGAP31,Th1.cells,0.0394683105931306,0.317292460768702
