TF,target,importance
PROX1,AEBP1,24.847636571626442
HMGN3,CRIP2,24.833224897070707
HMGN3,DBI,24.807401382536284
HMGN3,TNFRSF12A,24.801049098724505
IRF6,RAI14,24.740385953286154
EGR1,PTPRB,24.691114108125603
ANXA1,ARRDC4,24.69077996701369
NR4A1,EGR1,24.625550310460348
NR2F2,ABI3BP,24.493113026804156
ARG1,TSPAN18,24.49221329758698
KLF9,TGM2,24.46998684594998
TCF15,FABP4,24.466457874768768
NR2F2,KLHL4,24.40287886664175
ANXA1,GRB10,24.380309282653666
DAB2,MYCT1,24.320547309855492
MECOM,EPAS1,24.308297902823593
HOXD9,FCGRT,24.237057703678623
CD59,PRNP,24.230504152396474
FOSL1,GPR4,24.180890616262115
HOXD10,TIMP1,24.16552192650271
TBX1,HIGD1A,24.16077621384573
FOSL1,PROCR,24.1494106116471
ID1,SGK1,24.120146548832814
JUN,EGR1,24.11336128178225
PROX1,GPM6A,24.067706323841257
TBX1,RASSF9,23.958348082561944
IRF8,TFPI,23.912559539241233
HTATIP2,DDAH1,23.90408045854168
PLAGL1,RARRES2,23.901068213327616
FOSB,PLTP,23.90091192025956
IRF6,HSPB8,23.900038341839185
TBX1,P3H3,23.82092232926433
HTATIP2,MCM6,23.818263059820865
NR2F2,SEMA3D,23.816201110906878
ANXA1,CTSK,23.796235424008135
SOX18,RASIP1,23.781728126338596
ANXA1,TIMP1,23.772921545595334
NR2F2,CD9,23.76905302744616
KLF4,JUN,23.75836743532428
DAB2,NQO1,23.74951854099063
GATA2,CP,23.7026122233221
TBX1,PDLIM4,23.67385103836237
PROX1,RNF39,23.6141080198375
TAL1,P3H3,23.602191141986463
ID1,CSRP2,23.5499094533999
PRNP,ANXA1,23.530524535993994
NR4A1,SOX17,23.440017858497125
CREB3L1,ODC1,23.43557236724005
NR2F2,SCN3A,23.432614784679494
HIVEP3,NID1,23.38657338977919
KLF9,GPM6A,23.36889911899716
KLF4,STARD10,23.347148177307222
NR2F2,SMAGP,23.316758150299535
TBX1,MUSTN1,23.302829905974487
HES1,FOSB,23.277379441514213
PHLDA2,C1R,23.25085676748505
NR2F2,PROX1,23.226654335071338
SOX17,FLT1,23.21854973550931
TWIST1,RARRES2,23.207501176480168
HOXD9,F11R,23.204878396354815
HMGN3,HSP90B1,23.17264141543529
KLF9,RELN,23.137627680294234
FOS,GADD45G,23.12822220595168
HOXD10,RASSF9,23.12355961618652
ANXA1,MMD,23.121209027350435
MYLK,HBEGF,23.099096529285042
ANXA1,SMAGP,23.0862173836735
HTATIP2,CALU,23.07352227379353
TAL1,NAAA,23.03078899060196
HES1,VWA1,23.02313149166673
ANXA1,EGFL7,22.993256726042702
SOX18,CDH13,22.966257941657478
HOXD9,NR2F2,22.957552851733794
HOXD9,SCN1B,22.95475914475856
NR2F2,KLF9,22.953607794039527
KLF5,MAP1B,22.916564408248572
ERG,NQO1,22.8979131609086
SNAI1,SPRY4,22.89312127933132
HOXD10,PCBD1,22.871072445475022
HOXD9,TGFBI,22.859409027918108
HIVEP3,IGSF3,22.84568901162774
ESRP2,WFDC2,22.836632058653045
MEOX1,TBX1,22.836630164013233
ANXA1,BASP1,22.804788898133438
PROX1,SCN1B,22.79708679411469
TBX1,GLRX5,22.775524501300616
HOXD10,HTRA1,22.775037272326585
SNAI1,ADGRG1,22.774704001106056
PROX1,TUBB2A,22.70306880399189
ANXA1,MYCT1,22.659234133616742
TBX1,MRC1,22.652896701763606
ODC1,GPR4,22.64987416798774
ANXA1,RHOJ,22.62744424903247
ANXA1,DCTPP1,22.530609456193265
FOSB,JUN,22.507807871880342
PROX1,PRELP,22.494199381277728
SNAI1,EGFL7,22.475396992349378
PITX1,WFDC2,22.467581105418454
MEOX1,TWF1,22.38150687123053
LEF1,PROM1,22.378788874877518
SNAI1,NOS3,22.36708745362738
SOX17,ESAM,22.333467128228587
HOXD9,SMPDL3A,22.28832992115386
PROX1,SDC4,22.279616221501314
MAFB,FOS,22.27126363885811
PROX1,EGLN3,22.230106123495748
ANXA1,PCBD1,22.22610844220143
NR2F2,TBX1,22.21730873883863
SNAI1,IGFBP7,22.21132393536212
ANXA1,BCR,22.19609714433686
HOXD9,TST,22.16286378282627
IRF6,MYH10,22.14555588725681
ERG,TBX1,22.103756383346862
MECOM,COL4A2,22.102003927825507
IRF6,FLNC,22.087329964857997
TBX1,STMN1,22.087036267419673
CREB3L1,ATP8B1,22.0669191331078
EPAS1,MCAM,22.065105258710535
HOXD9,CALCRL,22.03092004784509
PROX1,RELN,21.968732430814445
PROX1,HOXD9,21.940500462075473
HOXD9,FXYD6,21.93290611031846
DAB2,TSPAN12,21.928700788133767
ANXA1,MMP14,21.92398449096437
SOX18,JUN,21.877105028607453
IRF6,CD9,21.813252618296502
ANXA1,MFGE8,21.80270482767554
TBX1,KDR,21.754563641762036
ARG1,COL5A2,21.710647720598836
HOXD10,MCM6,21.688796095778557
ANXA1,SERPINE1,21.682358701029614
ANXA1,TSPAN17,21.67609884519042
EPAS1,NRP1,21.667721827651185
NR4A2,C1R,21.666860024956506
TWIST2,EMP1,21.665358218107542
ANXA1,S100A16,21.65295565946458
HTATIP2,MYCT1,21.648942256782874
HOXD9,RAMP3,21.625577632032673
KLF9,TINAGL1,21.625310195466483
IRX5,EDNRB,21.52239700376044
ATF3,TMEM176B,21.48191052606301
TBX1,CLEC3B,21.46403290801052
ERG,PAWR,21.443671938015292
HOXD10,TNFRSF12A,21.430056029407073
KLF4,TBX1,21.414151742052812
MYLK,GCLM,21.411202043114802
TBX1,ABI3BP,21.401198823226924
DAB2,PAWR,21.398322092641916
SOX7,BCR,21.352041874898894
BARX1,KCNJ8,21.335688778940852
HOXD9,CLIC2,21.333288737574588
TBX1,VIM,21.328280659624998
IRF6,PRSS23,21.29019079006718
PRRX1,HEYL,21.284317694472108
NR2F2,HOXD9,21.276364110684057
IRF6,DYNLL1,21.26050684331384
ANXA1,TUBB2A,21.246338036033848
HTATIP2,CKAP4,21.234843303253907
NR2F2,NID1,21.232413683266653
DAB2,PABPC4,21.230950192150022
HIVEP3,CCDC80,21.22880984477302
TBX1,NDRG1,21.227520285582386
GATA2,MFGE8,21.219366326425003
MEOX1,MUSTN1,21.191856881348293
KLF4,CCL21,21.19052637627184
HOXD9,ABI3BP,21.13832104814418
KLF4,AEBP1,21.13056541483523
PROX1,CALD1,21.121782960356075
NR2F2,RAMP3,21.11531199244566
HMGN3,IL18,21.110682451547135
TBX1,DYSF,21.049578666264175
FOSL1,PDGFA,21.027975338349382
TCF15,FLT1,21.00977338827487
SNAI1,TFRC,21.00366843608707
ANXA1,MAGED1,20.980282503956133
ERG,STARD10,20.957665392098317
KLF5,HIGD1A,20.93992585886267
EZH2,TIMP1,20.931191380275965
PROX1,RASSF9,20.91525161113158
CD59,ECSCR,20.898025048519234
PRNP,FAM162A,20.879057303699586
IRF6,ECSCR,20.867632505046576
PIR,CD9,20.858621808309525
ANXA1,TIE1,20.833609185475893
TBX1,GPM6A,20.79876656155169
SOX15,CYP4B1,20.768718243458167
GATA2,TBX1,20.752853104862556
PRNP,CALU,20.749112673088938
HIVEP3,TSPAN18,20.738238899967776
SOX18,ID1,20.73204251727999
TCF15,CTNNBIP1,20.70541347268456
NR2F2,CTNNAL1,20.687693694476568
