ID	Type	TTYH3
TCGA-B7-5818-01A-11R-1602-13	Tumor	49.80215
TCGA-FP-7829-01A-11R-2055-13	Tumor	83.17743
TCGA-BR-6709-01A-11R-1884-13	Tumor	85.16562
TCGA-IN-8663-01A-11R-2402-13	Tumor	32.374
TCGA-BR-7704-01A-11R-2055-13	Tumor	50.24293
TCGA-CD-8535-01A-11R-2343-13	Tumor	86.25191
TCGA-BR-8365-01A-21R-2343-13	Tumor	14.90667
TCGA-BR-8080-01A-11R-2343-13	Tumor	46.01882
TCGA-BR-4187-01A-01R-1131-13	Tumor	32.89899
TCGA-BR-4361-01A-01R-1157-13	Tumor	14.80456
TCGA-MX-A663-01A-11R-A31P-31	Tumor	35.79081
TCGA-MX-A666-01A-11R-A31P-31	Tumor	27.6096
TCGA-BR-8591-01A-11R-2402-13	Tumor	36.37349
TCGA-IN-A7NU-01A-22R-A354-31	Tumor	26.37893
TCGA-BR-6707-01A-11R-1884-13	Tumor	41.50204
TCGA-VQ-A8PU-01A-12R-A414-31	Tumor	99.06282
TCGA-VQ-A8DV-01A-12R-A36D-31	Tumor	15.21877
TCGA-FP-7735-01A-11R-2055-13	Tumor	47.02148
TCGA-CG-4444-01A-01R-1157-13	Tumor	13.66901
TCGA-CD-A486-01A-11R-A24K-31	Tumor	62.40072
TCGA-CG-4436-01A-01R-1157-13	Tumor	30.24538
TCGA-F1-6177-01A-11R-1802-13	Tumor	88.34243
TCGA-CG-5725-01A-11R-1602-13	Tumor	70.12831
TCGA-ZA-A8F6-01A-23R-A36D-31	Tumor	59.4742
TCGA-D7-A4YU-01A-21R-A251-31	Tumor	21.39204
TCGA-CD-5813-01A-11R-1602-13	Tumor	49.61909
TCGA-RD-A7BW-01A-11R-A32D-31	Tumor	13.01049
TCGA-VQ-A8PM-01A-21R-A414-31	Tumor	19.50141
TCGA-R5-A805-01A-11R-A36D-31	Tumor	39.76481
TCGA-CG-4443-01A-01R-1157-13	Tumor	24.71623
TCGA-VQ-A8PD-01A-11R-A414-31	Tumor	43.72821
TCGA-FP-8099-01A-11R-2343-13	Tumor	59.29835
TCGA-CD-8526-01A-11R-2343-13	Tumor	29.62285
TCGA-HU-8244-01A-11R-2343-13	Tumor	29.27027
TCGA-FP-A9TM-01A-11R-A39E-31	Tumor	31.62606
TCGA-CG-4476-01A-01R-1157-13	Tumor	28.45454
TCGA-SW-A7EA-01A-12R-A354-31	Tumor	17.94795
TCGA-VQ-A8E3-01A-11R-A39E-31	Tumor	34.77449
TCGA-HF-7132-01A-11R-2055-13	Tumor	42.00814
TCGA-D7-8578-01A-21R-2343-13	Tumor	91.60972
TCGA-D7-A6EX-01A-11R-A31P-31	Tumor	30.61045
TCGA-HU-A4GQ-01A-11R-A36D-31	Tumor	32.17645
TCGA-BR-8592-01A-11R-2402-13	Tumor	16.0653
TCGA-BR-8291-01A-11R-2343-13	Tumor	46.29774
TCGA-VQ-A8PJ-01A-11R-A414-31	Tumor	30.75827
TCGA-D7-A6EY-01A-21R-A31P-31	Tumor	31.09723
TCGA-HU-A4HB-01A-12R-A251-31	Tumor	26.06973
TCGA-BR-8367-01A-11R-2343-13	Tumor	28.50537
TCGA-CD-A4MG-01A-11R-A251-31	Tumor	33.11616
TCGA-BR-7722-01A-31R-2203-13	Tumor	20.66865
TCGA-BR-8366-01A-11R-2343-13	Tumor	70.0998
TCGA-HU-A4GX-01A-12R-A251-31	Tumor	40.29609
TCGA-D7-A4YX-01A-11R-A251-31	Tumor	125.8046
TCGA-CD-5800-01A-11R-1602-13	Tumor	47.26655
TCGA-HU-A4GJ-01A-11R-A251-31	Tumor	17.12715
TCGA-VQ-A94U-01A-12R-A414-31	Tumor	24.74448
TCGA-BR-8296-01A-11R-2343-13	Tumor	47.74707
TCGA-HF-7133-01A-11R-2055-13	Tumor	33.64799
TCGA-IN-A6RR-01A-12R-A32D-31	Tumor	15.59283
TCGA-VQ-A91Z-01A-11R-A414-31	Tumor	36.95394
TCGA-VQ-A8PH-01A-12R-A414-31	Tumor	72.56069
TCGA-3M-AB46-01A-11R-A414-31	Tumor	11.36035
TCGA-VQ-A8DT-01A-11R-A36D-31	Tumor	23.10944
TCGA-BR-8081-01A-11R-2343-13	Tumor	28.38649
TCGA-HF-7131-01A-11R-2055-13	Tumor	35.99865
TCGA-VQ-A8PO-01A-11R-A414-31	Tumor	26.27254
TCGA-CD-8528-01A-11R-2343-13	Tumor	22.74539
TCGA-HU-8238-01A-11R-2343-13	Tumor	17.3484
TCGA-BR-8382-01A-11R-2402-13	Tumor	38.95559
TCGA-HU-A4GH-01A-11R-A24K-31	Tumor	76.07793
TCGA-BR-6705-01A-12R-1884-13	Tumor	55.50085
TCGA-BR-8590-01A-11R-2402-13	Tumor	39.55455
TCGA-IP-7968-01A-11R-2203-13	Tumor	60.53239
TCGA-VQ-A8P8-01A-11R-A39E-31	Tumor	26.0816
TCGA-VQ-A8PP-01A-21R-A414-31	Tumor	44.12593
TCGA-CG-4438-01A-01R-1157-13	Tumor	42.52275
TCGA-CG-4462-01A-01R-1157-13	Tumor	37.03712
TCGA-F1-6875-01A-11R-2055-13	Tumor	61.5887
TCGA-BR-6566-01A-11R-1802-13	Tumor	28.90409
TCGA-D7-6528-01A-11R-1802-13	Tumor	58.93282
TCGA-D7-6818-01A-11R-1884-13	Tumor	85.62682
TCGA-CG-5723-01A-11R-1602-13	Tumor	14.61416
TCGA-FP-8631-01A-11R-2402-13	Tumor	60.39173
TCGA-BR-8486-01A-31R-2402-13	Tumor	46.45554
TCGA-IN-A6RO-01A-12R-A33Y-31	Tumor	60.46029
TCGA-VQ-A8PF-01A-11R-A414-31	Tumor	52.7711
TCGA-VQ-A928-01A-11R-A414-31	Tumor	58.11105
TCGA-HU-A4GF-01A-11R-A24K-31	Tumor	50.62479
TCGA-CD-8529-01A-11R-2343-13	Tumor	68.09578
TCGA-VQ-A8PB-01A-11R-A39E-31	Tumor	14.4989
TCGA-R5-A7ZE-01B-11R-A354-31	Tumor	72.19144
TCGA-R5-A7O7-01A-11R-A33Y-31	Tumor	33.54139
TCGA-HU-A4GT-01A-21R-A251-31	Tumor	24.90866
TCGA-BR-8384-01A-21R-2402-13	Tumor	13.01851
TCGA-F1-A448-01A-11R-A24K-31	Tumor	66.34014
TCGA-BR-4253-01A-01R-1131-13	Tumor	21.15601
TCGA-IN-7808-01A-11R-2203-13	Tumor	33.08459
TCGA-IN-AB1V-01A-21R-A414-31	Tumor	7.941966
